Onset;Bar;Duration (s);Tempo (bpm);Intensity (dB)
275.8995011;83;2.49501;24.966;65.8
278.3945125;84;2.89202;24.048;63.3
281.2865306;85;2.67029;20.7468;67.5
283.9568254;86;3.41333;22.4694;65.7
287.3701587;87;3.04181;17.5781;63.1
290.4119728;88;2.72834;19.7251;72.8
293.1403175;89;2.78639;21.9914;66.5
295.926712;90;2.71673;21.5332;75.5
298.6434467;91;2.78639;22.0853;73.5
301.4298413;92;2.24073;21.5332;80.6
303.6705669;93;2.13624;26.777;65.3
305.8068027;94;2.14785;28.0868;65.7
307.9546485;95;2.24073;27.935;65.5
310.1953741;96;1.93887;26.777;66
312.1342404;97;2.13624;30.9459;64.7
314.2704762;98;2.08408;28.0868;66.4
316.3545578;99;2.17678;28.7897;66.5
318.5313379;100;2.05662;27.5636;67.2
320.5879592;101;1.93721;29.1741;63.5
322.5251701;102;2.05497;30.9724;71.3
324.5801361;103;2.02014;29.1976;67
326.6002721;104;2.10141;29.701;73.7
328.701678;105;2.2059;28.5523;80.3
330.9075737;106;2.18268;27.1998;77.5
333.0902494;107;2.14785;27.4892;81.5
335.2380952;108;2.15946;27.935;68
337.397551;109;2.21751;27.7848;72.4
339.6150567;110;2.18268;27.0574;66.1
341.7977324;111;2.41488;27.4892;68.8
344.2126077;112;2.27556;24.846;65.8
346.4881633;113;2.13624;26.3672;64
348.6243991;114;2.0695;28.0868;67.6
350.6939002;115;2.21458;28.9925;63.8
352.9084807;116;2.12463;27.0932;67.4
355.0331066;117;2.55419;28.2403;62.3
357.5873016;118;2.49615;23.4908;59.1
360.0834467;119;2.26395;24.0371;65.6
362.3473923;120;2.51937;26.5024;68.6
364.8667574;121;2.19429;23.8155;69.3
367.0610431;122;2.11302;27.3438;70.5
369.174059;123;2.07819;28.3954;67.6
371.2522449;124;2.02159;28.8713;72.6
373.2738322;125;1.96063;29.6796;73.8
375.2344671;126;1.99692;30.6023;67.5
377.2313832;127;2.28717;30.0463;72.9
379.5185488;128;1.93887;26.2333;80.2
381.457415;129;1.8576;30.9459;79.1
383.3150113;130;1.83438;32.2998;72.1
385.1493878;131;1.88082;32.7087;74.4
387.0302041;132;1.98277;31.901;68.1
389.0129705;133;1.94556;30.2607;73.8
390.9585261;134;1.97354;30.8395;73.6
392.9320635;135;2.02776;30.4023;77.4
394.9598186;136;1.87612;29.5894;82.1
396.835941;137;1.83907;31.9809;73.2
398.6750113;138;1.78794;32.6252;76.4
400.4629478;139;1.88082;33.5582;77.2
402.3437642;140;1.77633;31.901;75.2
404.1200907;141;1.83395;33.7776;68.2
405.9540363;142;1.77676;32.7163;71.6
407.7307937;143;1.65331;33.7694;67.9
409.3841043;144;1.66714;36.2908;65.7
411.0512472;145;1.75311;35.9897;82.6
412.8043537;146;2.15946;34.225;82
414.9638095;147;1.92726;27.7848;68.2
416.8910658;148;1.78794;31.1323;71.4
418.6790023;149;2.03175;33.5582;79
420.7107483;150;2.27556;29.5312;72.4
