Onset;Bar.Semiquaver;Duration (s);Tempo (bpm);Intensity (dB)
0.673378684;1.1;1.01007;0;62.4
1.683446712;1.2;0.766258;59.4019;54.4
2.449705215;1.3;0.835918;78.3026;55.9
3.285623582;1.4;0.847528;71.7773;60.9
4.133151927;1.5;0.801088;70.7941;66.6
4.934240362;1.6;0.812698;74.8981;61.6
5.746938775;1.7;0.824308;73.8281;63.2
6.571247165;1.8;0.835918;72.7883;66.9
7.407165532;2.1;0.835918;71.7773;72.1
8.2430839;2.2;0.718367;71.7773;62.1
8.961451247;2.3;0.72127;83.5227;60.5
9.682721088;2.4;0.847528;83.1866;61.5
10.53024943;2.5;0.801088;70.7941;65.8
11.33133787;2.6;0.824308;74.8981;61.5
12.15564626;2.7;0.754649;72.7883;58
12.91029478;2.8;0.847528;79.5072;47.6
13.75782313;3.1;0.928798;70.7941;55.4
14.68662132;3.2;0.801088;64.5996;55.4
15.48770975;3.3;0.824308;74.8981;64.1
16.31201814;3.4;0.882358;72.7883;60
17.19437642;3.5;0.812698;67.9996;66.7
18.00707483;3.6;0.835918;73.8281;59.3
18.8429932;3.7;0.812698;71.7773;66.7
19.65569161;3.8;0.859138;73.8281;71.5
20.51482993;4.1;0.835918;69.8374;66.6
21.3507483;4.2;0.812698;71.7773;66.4
22.16344671;4.3;0.865488;73.8281;63.4
23.02893424;4.4;1.13934;69.3251;63.4
24.16827664;4.5;0.781565;52.662;53.5
24.94984127;4.6;0.870748;76.7691;61.2
25.82058957;4.7;0.882358;68.9062;58.3
26.70294785;4.8;1.07973;67.9996;54.8
27.78267574;5.1;0.940408;55.5696;62.1
28.7230839;5.2;0.789478;63.8021;61.6
29.51256236;5.3;0.777869;75.9995;59.4
30.29043084;5.4;0.905578;77.1339;63
31.19600907;5.5;0.835918;66.256;64.9
32.03192744;5.6;0.766258;71.7773;60.8
32.79818594;5.7;0.870748;78.3026;65.7
33.66893424;5.8;0.882358;68.9062;57.7
34.55129252;6.1;0.801088;67.9996;58.4
35.35238095;6.2;0.824308;74.8981;60.7
36.17668934;6.3;0.847528;72.7883;65.3
37.02421769;6.4;0.789478;70.7941;58.3
37.81369615;6.5;0.835918;75.9995;61
38.64961451;6.6;0.870748;71.7773;66.3
39.52036281;6.7;0.824308;68.9062;61.9
40.3446712;6.8;0.893968;72.7883;58.1
41.23863946;7.1;0.835918;67.1165;62.2
42.07455782;7.2;0.824308;71.7773;60.6
42.89886621;7.3;0.835918;72.7883;61.3
43.73478458;7.4;0.801088;71.7773;63.4
44.53587302;7.5;0.789478;74.8981;64.7
45.32535147;7.6;0.801088;75.9995;68
