Onset;Bar.Quaver;Duration (s);Tempo (bpm);Intensity (dB)
0.621133787;0.5;0.24381;0;64.9
0.864943311;0.6;0.258322;246.094;63.8
1.123265306;1.1;0.217687;232.268;71.1
1.340952381;1.2;0.235102;275.625;69
1.576054422;1.3;0.252517;255.208;68.2
1.828571429;1.4;0.228662;237.608;56
2.05723356;1.5;0.250249;262.396;69.8
2.307482993;1.6;0.22059;239.761;62.6
2.528072562;2.1;0.240907;271.998;70.3
2.768979592;2.2;0.217687;249.059;72.2
2.986666667;2.3;0.226395;275.625;66.1
3.213061224;2.4;0.211882;265.024;63.9
3.424943311;2.5;0.22059;283.176;65.4
3.64553288;2.6;0.224943;271.998;66.9
3.87047619;3.1;0.216236;266.734;70.4
4.086712018;3.2;0.20898;277.475;72
4.29569161;3.3;0.223492;287.109;70.2
4.519183673;3.4;0.2322;268.466;58.6
4.75138322;3.5;0.238005;258.398;68.2
4.989387755;3.6;0.222494;252.096;59.9
5.211882086;4.1;0.209977;269.67;71.5
5.42185941;4.2;0.223492;285.745;72.2
5.645351474;4.3;0.203175;268.466;67.3
5.848526077;4.4;0.214785;295.313;65.1
6.063310658;4.5;0.206077;279.35;68.5
6.269387755;4.6;0.22059;291.153;69.7
6.489977324;5.1;0.194467;271.998;69.1
6.684444444;5.2;0.229297;308.535;68.8
6.913741497;5.3;0.239569;261.669;66.5
7.153310658;5.4;0.22483;250.45;58.8
7.37814059;5.5;0.206077;266.868;70.6
7.584217687;5.6;0.235102;291.153;60.7
7.819319728;6.1;0.22059;255.208;72.5
8.039909297;6.2;0.200272;271.998;69.6
8.240181406;6.3;0.206077;299.592;68.3
8.446258503;6.4;0.217687;291.153;63.3
8.663945578;6.5;0.217687;275.625;69.8
8.881632653;6.6;0.252517;275.625;66.3
9.13414966;7.1;0.214785;237.608;70.9
9.34893424;7.2;0.203175;279.35;72.9
9.552108844;7.3;0.177052;295.313;71.2
9.729160998;7.4;0.240907;338.883;65.7
9.970068027;7.5;0.194467;249.059;66.6
10.16453515;7.6;0.255419;308.535;68.9
