1.102500000	1.1
1.702500000	1.2
2.347500000	1.3
2.797500000	2.1
3.330000000	2.2
3.855000000	2.3
4.357520833	3.1
4.882500000	3.2
5.355000000	3.3
5.925000000	4.1
6.435000000	4.2
6.945000000	4.3
7.447500000	5.1
7.927500000	5.2
8.490000000	5.3
9.022500000	6.1
9.525000000	6.2
10.102500000	6.3
10.526145833	7.1
11.085000000	7.2
11.610000000	7.3
12.180000000	8.1
12.682020833	8.2
13.177500000	8.3
13.702500000	9.1
14.250000000	9.2
14.760000000	9.3
15.300000000	10.1
15.847500000	10.2
16.327500000	10.3
16.837500000	11.1
17.385000000	11.2
17.917500000	11.3
18.412500000	12.1
18.915000000	12.2
19.462500000	12.3
20.055000000	13.1
20.505000000	13.2
21.030000000	13.3
21.532625000	14.1
22.072500000	14.2
22.597500000	14.3
23.145000000	15.1
23.657500000	15.2
24.240000000	15.3
24.795000000	16.1
25.372500000	16.2
25.890000000	16.3
26.512500000	17.1
27.120000000	17.2
27.637500000	17.3
28.162500000	18.1
28.755000000	18.2
29.310000000	18.3
29.902500000	19.1
30.405000000	19.2
30.915000000	19.3
31.492500000	20.1
31.957500000	20.2
32.557500000	20.3
33.120000000	21.1
33.585000000	21.2
34.162416666	21.3
34.649041666	22.1
35.161916666	22.2
35.693458333	22.3
36.240000000	23.1
36.772500000	23.2
37.365000000	23.3
37.924708333	24.1
38.647500000	24.2
39.277500000	24.3
39.817500000	25.1
40.395000000	25.2
40.965000000	25.3
41.480666666	26.1
42.075000000	26.2
42.627375000	26.3
43.170000000	27.1
43.777500000	27.2
44.347500000	27.3
44.857500000	28.1
45.420000000	28.2
45.982500000	28.3
46.545000000	29.1
47.092395833	29.2
47.670000000	29.3
48.232500000	30.1
48.810000000	30.2
49.327500000	30.3
49.875000000	31.1
50.430000000	31.2
50.976729166	31.3
51.510000000	32.1
52.102500000	32.2
52.635000000	32.3
53.077500000	33.1
53.625000000	33.2
54.127500000	33.3
54.690000000	34.1
55.237500000	34.2
55.781625000	34.3
56.317500000	35.1
56.872500000	35.2
57.412500000	35.3
58.072500000	36.1
58.717500000	36.2
59.220000000	36.3
59.782500000	37.1
60.367500000	37.2
60.870000000	37.3
61.432500000	38.1
62.025000000	38.2
62.550000000	38.3
63.090000000	39.1
63.652458333	39.2
64.267500000	39.3
64.867500000	40.1
65.400000000	40.2
65.947916666	40.3
66.465000000	41.1
66.990000000	41.2
67.545000000	41.3
68.152500000	42.1
68.737500000	42.2
69.315000000	42.3
69.915000000	43.1
70.477500000	43.2
70.972500000	43.3
71.520000000	44.1
72.052500000	44.2
72.555000000	44.3
73.087500000	45.1
73.627500000	45.2
74.197500000	45.3
74.751041666	46.1
75.315000000	46.2
75.840000000	46.3
76.380000000	47.1
76.912500000	47.2
77.397812500	47.3
77.902500000	48.1
78.397500000	48.2
78.877500000	48.3
79.361375000	49.1
79.831062500	49.2
80.295916666	49.3
80.775000000	50.1
