Onset;Bar.Quaver;Duration (s);Tempo (bpm);Intensity (dB)
31.88680272;23.5;0.217914;293.218;65.9
32.10471655;23.6;0.247937;275.338;52.6
32.35265306;24.1;0.255215;241.997;61.7
32.60786848;24.2;0.241111;235.096;62.8
32.84897959;24.3;0.222041;248.848;61
33.07102041;24.4;0.217687;270.221;57.6
33.28870748;24.5;0.20898;275.625;70.3
33.49768708;24.6;0.217687;287.109;67.4
33.71537415;25.1;0.20898;275.625;71.8
33.92435374;25.2;0.213333;287.109;67.3
34.13768708;25.3;0.23068;281.25;66.6
34.36836735;25.4;0.213401;260.1;57.8
34.58176871;25.5;0.239456;281.16;68.1
34.82122449;25.6;0.231088;250.568;54.6
35.05231293;26.1;0.247823;259.641;65.2
35.30013605;26.2;0.239456;242.108;65.9
35.53959184;26.3;0.213333;250.568;62.8
35.75292517;26.4;0.230748;281.25;55.3
35.98367347;26.5;0.222041;260.024;66.2
36.20571429;26.6;0.200272;270.221;59.1
36.4059864;27.1;0.235102;299.592;63
36.64108844;27.2;0.226395;255.208;63.3
36.86748299;27.3;0.24381;265.024;60.1
37.11129252;27.4;0.213333;246.094;51.4
37.32462585;27.5;0.20898;281.25;63.2
37.53360544;27.6;0.269932;287.109;58.7
37.80353742;28.1;0.322177;222.278;59.9
38.12571429;28.2;0.322177;186.233;58.8
38.44789116;28.3;0.278639;186.233;56.3
38.72653061;28.4;0.313719;215.332;52.7
39.04024943;28.5;0.203628;191.254;64.6
39.24387755;28.6;0.218435;294.655;63.3
39.46231293;29.1;0.182857;274.681;66.2
39.64517007;29.2;0.248163;328.125;66.7
39.89333333;29.3;0.239977;241.776;64.6
40.13331066;29.4;0.225873;250.024;55.2
40.35918367;29.5;0.226395;265.636;68.2
40.58557823;29.6;0.29;265.024;59.7
40.87557823;30.1;0.188912;206.897;66.1
41.0644898;30.2;0.239456;317.609;69.9
41.30394558;30.3;0.239456;250.568;61.8
41.54340136;30.4;0.20898;250.568;67.1
41.75238095;30.5;0.213333;287.109;63.4
41.96571429;30.6;0.252517;281.25;63.4
42.21823129;31.1;0.226395;237.608;64.6
42.44462585;31.2;0.250363;265.024;67.6
42.69498866;31.3;0.223129;239.652;63
42.91811791;31.4;0.223107;268.902;58.9
43.14122449;31.5;0.227483;268.93;64.4
43.36870748;31.6;0.251429;263.756;63
43.62013605;32.1;0.222041;238.636;69.4
43.84217687;32.2;0.23932;270.221;73.1
44.0814966;32.3;0.238934;250.711;71.9
44.32043084;32.4;0.209637;251.115;63.8
44.53006803;32.5;0.20898;286.209;67.4
44.73904762;32.6;0.248163;287.109;69.9
44.98721088;33.1;0.225578;241.776;66.1
45.21278912;33.2;0.24898;265.983;72.1
45.46176871;33.3;0.212744;240.984;62.4
45.67451247;33.4;0.244399;282.029;56.5
45.91891157;33.5;0.274286;245.5;63.7
46.19319728;33.6;0.265578;218.75;67.3
46.45877551;34.1;0.252517;225.922;64.2
46.71129252;34.2;0.235102;237.608;64.7
46.94639456;34.3;0.187211;255.208;60.9
47.13360544;34.4;0.222041;320.494;63.3
47.35564626;34.5;0.226395;270.221;63.2
47.58204082;34.6;0.248163;265.024;62.4
47.83020408;35.1;0.235102;241.776;65.9
48.06530612;35.2;0.256871;255.208;70.7
48.32217687;35.3;0.235102;233.581;63.5
48.55727891;35.4;0.20898;255.208;60
48.7662585;35.5;0.250068;287.109;65
49.01632653;35.6;0.259229;239.935;56.9
49.27555556;36.1;0.217415;231.456;65.7
49.49297052;36.2;0.232608;275.97;68
49.72557823;36.3;0.236304;257.945;67.3
49.96188209;36.4;0.206281;253.91;65.1
50.16816327;36.5;0.235102;290.865;64.8
50.40326531;36.6;0.21127;255.208;61.2
50.61453515;37.1;0.232812;283.997;65.1
50.84734694;37.2;0.287347;257.719;67.6
51.13469388;37.3;0.217687;208.807;62.5
