Onset;Bar.Semiquaver;Duration (s);Tempo (bpm);Intensity (dB)
0.77786848;1.1;0.789478;0;65.8
1.567346938;1.2;0.731429;75.9995;59.7
2.29877551;1.3;0.766258;82.0312;67.5
3.065034013;1.4;0.743039;78.3026;71.8
3.808072562;1.5;0.777869;80.7495;71.9
4.585941043;1.6;0.766258;77.1339;70.3
5.352199546;1.7;0.766258;78.3026;70.5
6.118458049;1.8;0.801088;78.3026;70.4
6.919546485;2.1;0.766258;74.8981;76.1
7.685804988;2.2;0.731429;78.3026;68.9
8.41723356;2.3;0.743039;82.0312;61.3
9.160272108;2.4;0.870748;80.7495;62.5
10.03102041;2.5;0.812698;68.9062;60.4
10.84371882;2.6;0.719819;73.8281;58.5
11.56353741;2.7;0.684989;83.3543;62.4
12.24852608;2.8;0.743039;87.5927;63
12.99156463;3.1;0.789478;80.7495;66.1
13.78104308;3.2;0.719819;75.9995;57.8
14.50086168;3.3;0.812698;83.3543;68.5
15.31356009;3.4;0.789478;73.8281;63
16.10303855;3.5;0.835918;75.9995;67.9
16.93895692;3.6;0.801088;71.7773;60.9
17.74004535;3.7;0.812698;74.8981;73.6
18.55274376;3.8;0.847528;73.8281;69.9
19.40027211;4.1;0.789478;70.7941;72.1
20.18975057;4.2;0.777869;75.9995;73.5
20.96761905;4.3;0.882358;77.1339;71.5
21.84997732;4.4;1.10295;67.9996;69.6
22.95292517;4.5;0.789478;54.3997;62.6
23.74240363;4.6;0.847528;75.9995;61.6
24.58993197;4.7;0.975238;70.7941;63.6
25.56517007;4.8;1.13778;61.5234;59.4
26.70294785;5.1;0.812698;52.7344;59.4
27.51564626;5.2;0.754649;73.8281;64.6
28.27029478;5.3;0.789478;79.5072;62.6
29.05977324;5.4;0.789478;75.9995;66.9
29.8492517;5.5;0.754649;75.9995;64.8
30.60390023;5.6;0.766258;79.5072;64.3
31.37015873;5.7;0.766258;78.3026;64.9
32.13641723;5.8;0.940408;78.3026;61.8
33.0768254;6.1;0.777869;63.8021;63.1
33.85469388;6.2;0.708209;77.1339;61.5
34.56290249;6.3;0.763968;84.7208;67
35.32687075;6.4;0.710499;78.5373;63.7
36.03736961;6.5;0.824308;84.4477;68.3
36.861678;6.6;0.789478;72.7883;67.7
37.65115646;6.7;0.870748;75.9995;67.2
38.52190476;6.8;0.963628;68.9062;63.7
39.48553288;7.1;0.731429;62.2647;63
40.21696145;7.2;0.696599;82.0312;65.4
40.91356009;7.3;0.859138;86.1328;69.4
41.77269841;7.4;0.754649;69.8374;66.3
42.52734694;7.5;0.777869;79.5072;68.3
43.30521542;7.6;0.754649;77.1339;70.6
44.05986395;7.7;0.835918;79.5072;70.3
44.89578231;7.8;0.975238;71.7773;69.7
45.87102041;8.1;0.812698;61.5234;70.6
46.68371882;8.2;0.684989;73.8281;71.9
47.36870748;8.3;0.824308;87.5927;74.5
48.19301587;8.4;0.777869;72.7883;69.1
48.97088435;8.5;0.789478;77.1339;66.4
49.76036281;8.6;0.626939;75.9995;71
50.38730159;8.7;0.696599;95.7031;70.6
51.08390023;8.8;0.731429;86.1328;68.6
51.8153288;9.1;0.847528;82.0312;70.7
52.66285714;9.2;0.905578;70.7941;64.9
53.56843537;9.3;1.18422;66.256;70.5
54.75265306;9.4;0.766258;50.6664;63.6
55.51891156;9.5;0.905578;78.3026;61.1
56.4244898;9.6;0.859138;66.256;66.6
57.28362812;9.7;0.998458;69.8374;63.9
58.28208617;9.8;1.18422;60.0927;61.9
59.46630385;10.1;0.761088;50.6664;64
60.22739229;10.2;0.771429;78.8345;66
60.99882086;10.3;0.777869;77.7778;67.6
61.77668934;10.4;0.72585;77.1339;66.8
62.50253968;10.5;0.748617;82.6617;69.9
63.25115646;10.6;0.777869;80.1478;72.1
64.02902494;10.7;0.777869;77.1339;72.5
64.80689342;10.8;0.789478;77.1339;64.2
65.59637188;11.1;0.882358;75.9995;65.3
66.47873016;11.2;0.847528;67.9996;66.5
67.3262585;11.3;0.940408;70.7941;62.9
68.26666667;11.4;1.10295;63.8021;63
69.36961451;11.5;0.998458;54.3997;59.5
70.36807256;11.6;1.14939;60.0927;63.6
71.51746032;11.7;1.25388;52.2017;63.2
72.77133787;11.8;1.33515;47.8516;57.2
74.10648526;12.1;0.859138;44.9389;63.2
74.96562358;12.2;0.696599;69.8374;66
75.66222222;12.3;0.789478;86.1328;65.1
76.45170068;12.4;0.731429;75.9995;61.8
77.18312925;12.5;0.812698;82.0312;65.5
