Onset;Bar.Quaver;Duration (s);Tempo (bpm);Intensity (dB)
0.163265306;1.1;1.8859;0;72.1
2.049160997;1.2;1.8634;31.8151;63.1
3.912562358;1.3;1.77052;32.1992;75.9
5.6830839;1.4;1.85138;33.8883;74.7
7.53446712;2.1;1.73;32.4082;79.9
9.26446712;2.2;1.65;34.6821;66.8
10.91446712;2.3;1.75;36.3636;66.6
12.66446712;2.4;1.72;34.2857;64.1
14.38446712;3.1;1.73;34.8837;68.3
16.11446712;3.2;1.83;34.6821;69.4
17.94446712;3.3;1.83512;32.7869;74.4
19.77959184;3.4;1.90204;32.6953;73.5
21.68163265;4.1;1.72408;31.5451;72.7
23.40571429;4.2;1.89469;34.8011;67.8
25.30040816;4.3;1.78122;31.6674;60.1
27.08163265;4.4;2.55864;33.6847;61.7
29.64027211;5.1;1.7473;23.45;63.1
31.3875737;5.2;1.81116;34.3387;69.1
33.19873016;5.3;1.71828;33.128;65.9
34.9170068;5.4;1.85034;34.9187;67.7
36.76734694;6.1;1.56735;32.4265;68.3
38.33469388;6.2;1.5593;38.2812;70.5
39.89399093;6.3;1.75431;38.4789;74.6
41.64829932;6.4;1.73129;34.2015;71.1
43.37959184;7.1;1.70612;34.6562;67.6
45.08571429;7.2;1.52254;35.1675;72.4
46.60825397;7.3;1.59637;39.4078;76.3
48.20462585;7.4;1.81374;37.5852;76
50.01836735;8.1;1.6112;33.0808;76.8
51.62956916;8.2;1.49912;37.2393;77.8
53.12868481;8.3;1.62977;40.0236;72.3
54.75845805;8.4;1.72408;36.8149;77.7
56.48253968;9.1;1.96789;34.8011;69.4
58.45043084;9.2;1.67855;30.4895;68
60.12897959;9.3;1.60707;35.7452;56.5
61.73605442;9.4;1.77052;37.3349;67.2
63.50657596;10.1;1.77633;33.8883;69.4
65.28290249;10.2;1.59057;33.7776;69.1
66.87346939;10.3;1.61959;37.7224;64.9
68.49306122;10.4;1.36998;37.0464;64.9
69.86303855;11.1;1.41642;43.7963;66.6
71.27945578;11.2;1.57896;42.3604;63.6
72.8584127;11.3;1.84018;37.9998;62.6
74.6985941;11.4;2.64127;32.6055;64.9
77.33986395;12.1;2.26014;22.7163;61.4
79.6;12.2;2.0878;26.5471;62.3
81.68780045;12.3;1.9159;28.7384;61.9
83.60369615;12.4;2.01127;31.3169;63.5
85.61496599;13.1;2.00982;29.8319;62.6
87.62478458;13.2;1.94599;29.8534;63.3
89.57077098;13.3;1.82297;30.8327;65.8
91.3937415;13.4;2.16134;32.9133;67.4
93.55507937;14.1;1.82512;27.7606;66
95.38020408;14.2;1.75995;32.8745;59.8
97.14015873;14.3;1.6063;34.0918;64.7
98.74646259;14.4;1.78458;37.3528;61.2
100.5310431;15.1;1.67739;33.6213;64.1
102.2084354;15.2;1.69764;35.7698;67.6
103.9060771;15.3;1.81438;35.3431;65.4
105.7204535;15.4;1.81116;33.0692;64.1
107.53161;16.1;1.77859;33.128;60.2
109.3102041;16.2;1.54694;33.7345;64.2
110.8571429;16.3;1.79821;38.7863;67.1
112.6553515;16.4;1.94465;33.3665;62.2
114.6;17.1;1.59184;30.8539;61.7
116.1918367;17.2;1.63265;37.6923;62.3
117.8244898;17.3;1.69796;36.75;67
119.522449;17.4;1.7102;35.3365;71.6
121.2326531;18.1;1.85306;35.0835;68.7
