Onset;Bar.Semiquaver;Duration (s);Tempo (bpm);Intensity (dB)
0.166893424;1.1;0.783673;0;68.3
0.950566893;1.2;0.725624;76.5625;68.3
1.676190476;1.3;0.754649;82.6875;63.6
2.430839002;1.4;0.740136;79.5072;67.1
3.170975057;1.5;0.718367;81.0662;74.8
3.889342404;1.6;0.718367;83.5227;69.4
4.607709751;1.7;0.704127;83.5227;68.8
5.311836735;1.8;0.754376;85.2119;73.1
6.066213152;2.1;0.754649;79.5359;77.2
6.820861678;2.2;0.667574;79.5072;68.9
7.488435374;2.3;0.73288;89.8777;67
8.221315193;2.4;0.79093;81.8688;61.7
9.012244898;2.5;0.776417;75.8601;53.6
9.788662132;2.6;0.725624;77.278;58.7
10.51428571;2.7;0.67483;82.6875;61.2
11.18911565;2.8;0.67483;88.9113;61
11.86394558;3.1;0.696599;88.9113;60.6
12.56054422;3.2;0.711111;86.1328;58.3
13.27165533;3.3;0.682086;84.375;70.3
13.9537415;3.4;0.783673;87.9654;63.2
14.73741497;3.5;0.740136;76.5625;66.1
15.47755102;3.6;0.718367;81.0662;58.8
16.19591837;3.7;0.667574;83.5227;72.2
16.86349206;3.8;0.776417;89.8777;69.4
17.6399093;4.1;0.761905;77.278;70.3
18.40181406;4.2;0.79093;78.75;68.4
19.19274376;4.3;0.776417;75.8601;65.6
19.969161;4.4;0.798186;77.278;67.3
20.76734694;4.5;0.754649;75.1705;55.6
21.52199547;4.6;0.747392;79.5072;66.8
22.26938776;4.7;0.783673;80.2791;59.8
23.05306122;4.8;0.950567;76.5625;60.3
24.00362812;5.1;0.740136;63.1202;61.7
24.74376417;5.2;0.725624;81.0662;67.5
25.46938776;5.3;0.660317;82.6875;65.4
26.12970522;5.4;0.689342;90.8654;65
26.81904762;5.5;0.667574;87.0395;66.1
27.48662132;5.6;0.725624;89.8777;66.9
28.2122449;5.7;0.725624;82.6875;62.9
28.93786848;5.8;0.711111;82.6875;60.8
29.64897959;6.1;0.725624;84.375;63.2
30.37460318;6.2;0.67483;82.6875;62.3
31.04943311;6.3;0.624036;88.9113;67
31.67346939;6.4;0.689342;96.1483;66.4
32.36281179;6.5;0.660317;87.0395;69.8
33.02312925;6.6;0.725624;90.8654;72.3
33.74875283;6.7;0.718367;82.6875;68.8
34.46712018;6.8;0.79093;83.5227;60.6
35.25804989;7.1;0.688027;75.8601;64.3
35.9460771;7.2;0.64712;87.2059;61.6
36.59319728;7.3;0.638549;92.7185;66.4
37.23174603;7.4;0.645805;93.9631;69.4
37.87755102;7.5;0.631293;92.9073;70.6
38.50884354;7.6;0.61678;95.0431;75.2
39.12562358;7.7;0.638549;97.2794;71.5
39.76417234;7.8;0.696599;93.9631;75.2
40.46077098;8.1;0.631293;86.1328;73.3
41.09206349;8.2;0.653061;95.0431;69.5
41.74512472;8.3;0.645805;91.875;75.2
42.39092971;8.4;0.631293;92.9073;73.7
43.02222222;8.5;0.638549;95.0431;75.3
43.66077098;8.6;0.703855;93.9631;74
44.36462585;8.7;0.638549;85.2448;76.6
45.0031746;8.8;0.645805;93.9631;75.4
45.64897959;9.1;0.725624;92.9073;71.8
46.37460318;9.2;0.856236;82.6875;67.6
47.230839;9.3;0.928798;70.0742;71.8
48.15963719;9.4;0.740136;64.5996;64.9
48.89977324;9.5;0.67483;81.0662;62.5
49.57460318;9.6;0.711111;88.9113;68.2
50.28571429;9.7;0.660317;84.375;68.1
50.94603175;9.8;0.783673;90.8654;71.8
51.72970522;10.1;0.696599;76.5625;72.4
52.42630386;10.2;0.689342;86.1328;74.2
53.11564626;10.3;0.629615;87.0395;73.3
53.74526077;10.4;0.661995;95.2964;73
54.40725624;10.5;0.669002;90.6351;75.5
55.0762585;10.6;0.709683;89.6858;70.8
55.78594104;10.7;0.725624;84.5448;72.4
56.51156463;10.8;0.653061;82.6875;69.2
57.16462585;11.1;0.740136;91.875;67
57.90476191;11.2;0.718367;81.0662;66.8
58.62312925;11.3;0.805442;83.5227;64.6
59.42857143;11.4;0.972336;74.4932;67.2
60.40090703;11.5;0.841723;61.7071;57.7
61.24263039;11.6;1.11746;71.2823;62.2
62.3600907;11.7;1.18277;53.6932;62.7
63.54285714;11.8;1.36417;50.7285;50
64.90702948;12.1;0.805442;43.9827;61.1
65.71247166;12.2;0.754649;74.4932;61.4
66.46712018;12.3;0.697664;79.5072;67.9
67.16478458;12.4;0.746327;86.0012;70.4
67.91111111;12.5;0.672109;80.3938;67
68.58321996;12.6;0.663039;89.2713;66
69.2462585;12.7;0.725624;90.4925;69.4
69.97188209;12.8;0.79093;82.6875;66.1
70.76281179;13.1;0.718367;75.8601;65.8
71.48117914;13.2;0.602268;83.5227;66.6
72.08344671;13.3;0.754649;99.6235;65.8
72.83809524;13.4;0.718367;79.5072;63.9
73.55646259;13.5;0.67483;83.5227;62.7
74.23129252;13.6;0.776417;88.9113;66.9
75.00770975;13.7;0.696599;77.278;61.9
75.70430839;13.8;0.834467;86.1328;59.3
76.53877551;14.1;0.67483;71.9022;65.6
77.21360544;14.2;0.61678;88.9113;65.7
77.83038549;14.3;0.676009;97.2794;63.8
78.50639456;14.4;0.651882;88.7562;70.4
79.15827664;14.5;0.624036;92.0412;72.2
79.78231293;14.6;0.631111;96.1483;70.8
80.41342404;14.7;0.631474;95.0704;67.2
81.04489796;14.8;0.587755;95.0158;71.9
81.63265306;15.1;0.638549;102.083;71.9
82.27120181;15.2;0.667574;93.9631;72
82.93877551;15.3;0.61678;89.8777;66.8
83.55555556;15.4;0.711111;97.2794;71.2
84.26666667;15.5;0.638549;84.375;68.1
84.90521542;15.6;0.769161;93.9631;61.7
85.67437642;15.7;0.79093;78.0071;60.9
86.46530612;15.8;0.936054;75.8601;58.9
87.40136054;16.1;0.683492;64.0988;66.6
88.08485261;16.2;0.644399;87.7845;63.2
88.7292517;16.3;0.631293;93.11;65.3
89.36054422;16.4;0.660317;95.0431;58.1
90.02086168;16.5;0.668594;90.8654;65.3
90.68945578;16.6;0.644785;89.7405;56.6
91.33424036;16.7;0.711111;93.0543;58.6
92.04535147;16.8;0.660317;84.375;64.8
92.70566893;17.1;0.663379;90.8654;66.2
93.36904762;17.2;0.635488;90.4461;58
94.00453515;17.3;0.638549;94.4157;67.1
94.6430839;17.4;0.660317;93.9631;63
95.30340136;17.5;0.638549;90.8654;61.8
95.94195011;17.6;0.667574;93.9631;66
96.60952381;17.7;0.67483;89.8777;62
97.28435374;17.8;0.602268;88.9113;65.4
97.88662132;18.1;0.73288;99.6235;65.4
98.61950113;18.2;0.645805;81.8688;60.6
99.26530612;18.3;0.696599;92.9073;57.7
99.96190476;18.4;0.638549;86.1328;56.6
100.6004535;18.5;0.703855;93.9631;63.8
101.3043084;18.6;0.696599;85.2448;58.1
102.000907;18.7;0.718367;86.1328;56.7
102.7192744;18.8;0.870748;83.5227;53.9
103.5900227;19.1;0.952381;68.9063;62.9
104.5424036;19.2;0.825397;63;47.4
