Onset;Bar.Crotchet;Duration (s);Tempo (bpm);Intensity (dB)
64.8525;38.1;0.450375;129.543;76.3
65.302875;38.2;0.419625;133.222;75.8
65.7225;38.3;0.428354;142.985;77.9
66.15085417;38.4;0.434146;140.071;83.2
66.585;39.1;0.495;138.202;83.1
67.08;39.2;0.4125;121.212;79.2
67.4925;39.3;0.4875;145.455;81.8
67.98;39.4;0.4125;123.077;77.2
68.3925;40.1;0.42;145.455;77.9
68.8125;40.2;0.451625;142.857;77.5
69.264125;40.3;0.455875;132.854;80.2
69.72;40.4;0.424521;131.615;76.3
70.14452083;41.1;0.438313;141.336;79.8
70.58283333;41.2;0.474313;136.889;80.4
71.05714583;41.3;0.500354;126.499;81.2
71.5575;41.4;0.3945;119.915;77.8
71.952;42.1;0.460417;152.091;78.6
72.41241667;42.2;0.47825;130.317;79.6
72.89066667;42.3;0.436833;125.457;80.5
73.3275;42.4;0.4005;137.352;76.4
73.728;43.1;0.426667;149.813;74.3
74.15466667;43.2;0.512;140.625;69
74.66666667;43.3;0.445833;117.188;69.8
75.1125;43.4;0.467354;134.579;67.3
75.57985417;44.1;0.404146;128.382;66
75.984;44.2;0.467646;148.461;70.8
76.45164583;44.3;0.456604;128.302;72.2
76.90825;44.4;0.414417;131.405;73.3
77.32266667;45.1;0.375813;144.782;72.3
77.69847917;45.2;0.424188;159.654;75.3
78.12266667;45.3;0.410458;141.447;74.9
78.533125;45.4;0.411875;146.178;74.2
78.945;46.1;0.3675;145.675;70.6
79.3125;46.2;0.4155;163.265;73.8
79.728;46.3;0.451479;144.404;82.6
80.17947917;46.4;0.418896;132.896;71.6
80.598375;47.1;0.386625;143.234;70.2
80.985;47.2;0.4125;155.189;73.4
81.3975;47.3;0.4575;145.455;75.7
81.855;47.4;0.401667;131.148;72.6
82.25666667;48.1;0.385833;149.378;70.9
82.6425;48.2;0.4125;155.508;72.5
83.055;48.3;0.439438;145.455;76.7
83.4944375;48.4;0.385563;136.538;72.4
83.88;49.1;0.39;155.617;71.5
84.27;49.2;0.418;153.846;75.5
84.688;49.3;0.448;143.541;78
85.136;49.4;0.454;133.929;74.2
85.59;50.1;0.447333;132.159;74.9
86.03733333;50.2;0.482667;134.128;72.3
86.52;50.3;0.435;124.309;73.7
86.955;50.4;0.490333;137.931;77.5
87.44533333;51.1;0.441167;122.366;75.5
87.8865;51.2;0.444167;136.003;73.2
88.33066667;51.3;0.469333;135.084;71.4
88.8;51.4;0.474667;127.841;69.3
89.27466667;52.1;0.432833;126.404;70.3
89.7075;52.2;0.555;138.621;65.7
90.2625;52.3;0.487521;108.108;67.3
90.75002083;52.4;0.457479;123.072;57.7
91.2075;53.1;0.5775;131.154;65.7
91.785;53.2;0.4575;103.896;64.2
92.2425;53.3;0.478146;131.148;72.6
92.72064583;53.4;0.436854;125.485;72.9
93.1575;54.1;0.45;137.346;75.1
93.6075;54.2;0.4885;133.333;76.9
94.096;54.3;0.464;122.825;74.2
94.56;54.4;0.384;129.31;77
94.944;55.1;0.421333;156.25;79.7
95.36533333;55.2;0.507167;142.405;80.1
