Onset;Bar.Crotchet;Duration (s);Tempo (bpm);Intesity (dB)
79.63733333;32.3;0.576;98.6842;76.3
80.21333333;32.4;0.649385;104.167;71.3
80.86271875;33.1;0.694615;92.3951;71.3
81.55733333;33.2;0.608;86.3788;68.8
82.16533333;33.3;0.821333;98.6842;73.2
82.98666667;33.4;0.810667;73.0519;65.5
83.79733333;34.1;0.565333;74.0132;64
84.36266667;34.2;0.512;106.132;70.9
84.87466667;34.3;0.494625;117.188;72.1
85.36929167;34.4;0.593375;121.304;72.1
85.96266667;35.1;0.544;101.116;71.2
86.50666667;35.2;0.512;110.294;72
87.01866667;35.3;0.475396;117.188;69.3
87.4940625;35.4;0.580604;126.211;71.5
88.07466667;36.1;0.490667;103.341;73.9
88.56533333;36.2;0.544;122.283;71.9
89.10933333;36.3;0.48;110.294;71.8
89.58933333;36.4;0.589188;125;74.8
90.17852083;37.1;0.605479;101.835;72.1
90.784;37.2;0.597333;99.0951;70.8
91.38133333;37.3;0.544;100.446;64.4
91.92533333;37.4;0.608;110.294;67.4
92.53333333;38.1;0.586667;98.6842;66.7
93.12;38.2;0.554667;102.273;68.6
93.67466667;38.3;0.522667;108.173;66.6
94.19733333;38.4;0.586667;114.796;69.6
94.784;39.1;0.533333;102.273;69.1
95.31733333;39.2;0.554667;112.5;67.6
95.872;39.3;0.490667;108.173;66.5
96.36266667;39.4;0.578135;122.283;68
96.94080208;40.1;0.509865;103.782;71.1
97.45066667;40.2;0.576;117.678;74.8
98.02666667;40.3;0.544;104.167;74
98.57066667;40.4;0.746667;110.294;74.9
99.31733333;41.1;0.650667;80.3571;74.9
99.968;41.2;0.682667;92.2131;72
100.6506667;41.3;0.629333;87.8906;67.3
101.28;41.4;0.736;95.339;69.5
102.016;42.1;0.650667;81.5217;64.6
102.6666667;42.2;0.533333;92.2131;70.7
103.2;42.3;0.544;112.5;66.7
103.744;42.4;0.576;110.294;69.7
104.32;43.1;0.533333;104.167;65.6
104.8533333;43.2;0.501333;112.5;69
105.3546667;43.3;0.512;119.681;62.5
105.8666667;43.4;0.518104;117.188;70
106.3847708;44.1;0.484562;115.807;67.9
106.8693333;44.2;0.512;123.823;67
107.3813333;44.3;0.469333;117.188;70.4
107.8506667;44.4;0.533333;127.841;70.1
108.384;45.1;0.533333;112.5;71.3
108.9173333;45.2;0.490667;112.5;72.7
109.408;45.3;0.522667;122.283;67.6
109.9306667;45.4;0.565333;114.796;70.9
110.496;46.1;0.576;106.132;70.5
111.072;46.2;0.544;104.167;69.9
111.616;46.3;0.426667;110.294;73.1
112.0426667;46.4;0.544;140.625;75.2
112.5866667;47.1;0.48;110.294;72.4
113.0666667;47.2;0.501333;125;71.2
113.568;47.3;0.462698;119.681;74.6
114.0306979;47.4;0.501375;129.674;76
114.5320729;48.1;0.56126;119.671;74.3
115.0933333;48.2;0.426667;106.902;74
115.52;48.3;0.48;140.625;77
