Onset,Note,Duration,Bar
1.521632653,1,0.472381,1
1.994013605,2,0.761905,2
2.755918367,3,0.20898,2
2.964897959,4,0.204626,2
3.16952381,5,0.262313,2
3.431836735,6,0.444082,3
3.875918367,7,0.466939,3
4.342857143,8,0.45932,3
4.802176871,9,0.653061,4
5.455238095,10,0.252517,4
5.707755102,11,0.218776,4
5.926530612,12,0.21551,4
6.142040816,13,0.437551,5
6.579591837,14,0.466939,5
7.046530612,15,0.45932,5
7.50585034,16,0.683537,6
8.189387755,17,0.200272,6
8.389659864,18,0.230748,6
8.620408163,19,0.222041,6
8.84244898,20,0.656327,7
9.49877551,21,0.166531,7
9.665306122,22,0.204626,7
9.869931973,23,0.28517,7
10.15510204,24,0.624762,8
10.77986395,25,0.217687,8
10.99755102,26,0.169796,8
11.16734694,27,0.257959,8
11.42530612,28,0.230431,9
11.65573696,29,0.174467,9
11.83020408,30,0.437551,9
12.2677551,31,0.470204,9
12.73795918,32,0.915374,10
13.65333333,33,0.200272,10
13.85360544,34,0.213333,10
14.06693878,35,0.178503,11
14.24544218,36,0.235102,11
14.48054422,37,0.451701,11
14.9322449,38,0.473469,11
15.40571429,39,0.951293,12
16.3570068,40,0.224218,12
16.58122449,41,0.244875,12
16.82609977,42,1.05798,13
17.88408163,43,0.316735,13
18.20081633,44,0.329796,13
18.53061225,45,1.2702,14
19.80081633,46,0.235102,14
20.03591837,47,0.231837,14
20.2677551,48,0.20898,15
20.47673469,49,0.186122,15
20.66285714,50,0.474558,15
21.13741497,51,0.470204,15
21.60761905,52,0.29932,16
21.90693878,53,0.212245,16
22.11918367,54,0.186122,16
22.30530612,55,0.225306,16
22.53061225,56,0.450612,16
22.98122449,57,0.241633,17
23.22285714,58,0.199184,17
23.42204082,59,0.241633,17
23.66367347,60,0.241633,17
23.90530612,61,0.486531,17
24.39183674,62,0.237891,18
24.62972789,63,0.209456,18
24.83918367,64,0.20898,18
25.04816327,65,0.20898,18
25.25714286,66,0.427755,18
25.68489796,67,0.20898,19
25.89387755,68,0.242041,19
26.13591837,69,0.211837,19
26.3477551,70,0.251429,19
26.59918367,71,0.470204,19
27.06938776,72,0.222041,20
27.29142857,73,0.202449,20
27.49387755,74,0.187211,20
27.68108844,75,0.253605,20
27.93469388,76,0.377687,20
28.31238095,77,0.217687,21
28.53006803,78,0.253605,21
28.78367347,79,0.355918,21
29.13959184,80,0.43102,21
29.57061225,81,0.217687,22
29.78829932,82,0.213333,22
30.00163265,83,0.413605,22
30.4152381,84,0.44517,22
30.86040816,85,0.408163,23
31.26857143,86,0.387483,23
31.65605442,87,0.448435,23
32.1044898,88,0.538776,24
32.64326531,89,0.427755,24
33.07102041,90,0.43102,24
33.50204082,91,0.404898,25
33.90693878,92,0.387483,25
34.29442177,93,0.491973,25
34.78639456,94,0.51483,26
35.30122449,95,0.495238,26
35.79646259,96,0.565986,26
36.36244898,97,0.512653,27
36.87510204,98,0.497415,27
37.37251701,99,0.638912,27
38.01142857,100,0.574694,28
38.58612245,101,2.01796,28
40.60408163,102,0.519184,29
41.12326531,103,0.724898,30
41.84816327,104,0.205714,30
42.05387755,105,0.192653,30
42.24653061,106,0.257959,30
42.5044898,107,0.472404,31
42.97689342,108,0.458209,31
43.43510204,109,0.48,31
43.91510204,110,0.705306,32
44.62040816,111,0.212245,32
44.83265306,112,0.189388,32
45.02204082,113,0.251429,32
45.27346939,114,0.460408,33
45.73387755,115,0.385306,33
46.11918367,116,0.50068,33
46.61986395,117,0.697687,34
47.31755102,118,0.244898,34
47.56244898,119,0.20746,34
47.7699093,120,0.217029,34
47.98693878,121,0.493061,35
48.48,122,0.456054,35
48.93605442,123,0.552925,35
49.48897959,124,0.200272,36
49.6892517,125,0.277166,36
49.96641723,126,0.253991,36
50.22040816,127,0.182857,36
50.40326531,128,0.22873,36
50.63199547,129,0.225147,36
50.85714286,130,0.463673,37
51.32081633,131,0.460408,37
51.78122449,132,1.3551,37
53.13632653,133,0.519184,38
53.6555102,134,0.333061,39
53.98857143,135,0.398367,39
54.38693878,136,0.435374,39
54.82231293,137,0.653061,40
55.47537415,138,0.213333,40
55.68870748,139,0.452789,40
56.1414966,140,0.461497,41
56.6029932,141,0.409252,41
57.0122449,142,0.52898,41
57.54122449,143,0.849184,42
58.39040816,144,0.428639,42
58.81904762,145,0.465351,43
59.28439909,146,0.431791,43
59.71619048,147,0.40898,43
60.12517007,148,0.700952,44
