Onset;Bar.Semiquaver;Duration (s);Tempo (bpm);Intensity (dB)
120.355737;17.8;0.876916;72.0039;69.1
121.2326531;18.1;0.832653;68.4216;68.7
122.0653061;18.2;1.02041;72.0588;63.1
123.0857143;18.3;0.857143;58.8;67.1
123.9428571;18.4;0.808163;70;62.4
124.7510204;18.5;0.828571;74.2424;61.9
125.5795918;18.6;0.771429;72.4138;57.6
126.3510204;18.7;0.869388;77.7778;66.4
127.2204082;18.8;0.918367;69.0141;59.6
128.1387755;19.1;0.868005;65.3333;63.4
129.00678;19.2;0.94424;69.1241;51.1
129.9510204;19.3;0.820862;63.5431;52.6
130.7718821;19.4;0.850839;73.0939;44
131.6227211;19.5;0.875238;70.5186;41.2
132.4979592;19.6;0.926531;68.5528;41.4
133.4244898;19.7;0.864739;64.7577;60.9
134.289229;19.8;0.794512;69.3851;66.5
135.0837415;20.1;0.89585;75.518;55.9
135.9795918;20.2;0.767347;66.9755;58.1
136.7469388;20.3;0.796281;78.1915;53.9
137.54322;20.4;1.06494;75.3503;66.6
138.6081633;20.5;0.720952;56.341;64.5
139.3291156;20.6;0.907619;83.2233;70.5
140.2367347;20.7;0.865306;66.107;68.5
141.1020408;20.8;0.665306;69.3396;63.3
141.7673469;21.1;0.662585;90.1841;66.7
142.429932;21.2;0.692903;90.5544;75.2
143.1228345;21.3;0.705737;86.5923;68.9
143.8285714;21.4;0.755102;85.0175;72.3
144.5836735;21.5;0.625986;79.4595;73.4
145.2096599;21.6;0.667891;95.8487;71.6
145.877551;21.7;0.804082;89.835;68
146.6816327;21.8;0.771429;74.6193;74.9
147.4530612;22.1;0.77551;77.7778;70.7
148.2285714;22.2;0.755102;77.3684;77
148.9836735;22.3;0.759184;79.4595;71
149.7428571;22.4;1.03265;79.0323;78.6
150.7755102;22.5;0.714286;58.1028;69.5
151.4897959;22.6;0.983673;84;75.1
152.4734694;22.7;0.8;60.9958;70.6
153.2734694;22.8;0.697959;75;68.9
153.9714286;23.1;0.665306;85.9649;69.1
154.6367347;23.2;0.612245;90.1841;71.9
155.2489796;23.3;0.697959;98;65.2
155.9469388;23.4;0.587755;85.9649;68.9
156.5346939;23.5;0.653061;102.083;67.5
157.1877551;23.6;0.661224;91.875;77.4
157.8489796;23.7;0.636735;90.7407;75
158.4857143;23.8;0.697959;94.2308;78.3
159.1836735;24.1;0.753016;85.9649;72.6
159.9366893;24.2;0.646984;79.6796;76.2
160.5836735;24.3;0.718367;92.738;75.3
161.3020408;24.4;0.795918;83.5227;81.6
162.0979592;24.5;0.771429;75.3846;77.5
162.8693878;24.6;0.763265;77.7778;80.4
163.6326531;24.7;1.25714;78.6096;75.2
164.8897959;24.8;0.72288;47.7273;69.3
165.6126757;25.1;0.656712;83.0014;73.2
166.2693878;25.2;0.726531;91.3643;79
166.9959184;25.3;0.832653;82.5843;76
167.8285714;25.4;0.673469;72.0588;75.4
168.5020408;25.5;0.612245;89.0909;78.7
169.1142857;25.6;0.64898;98;79.3
169.7632653;25.7;0.742857;92.4528;84.4
170.5061224;25.8;0.914286;80.7692;83.8
171.4204082;26.1;0.966032;65.625;81.1
172.3864399;26.2;0.817642;62.1098;79.6
173.2040816;26.3;0.685714;73.3818;80.8
173.8897959;26.4;0.697959;87.5;76.2
174.5877551;26.5;0.995918;85.9649;75.9
175.5836735;26.6;0.840816;60.2459;78.8
176.4244898;26.7;0.836735;71.3592;77.4
177.2612245;26.8;0.771429;71.7073;84
178.0326531;27.1;0.677551;77.7778;74.5
178.7102041;27.2;0.722449;88.5542;70.9
179.4326531;27.3;0.742857;83.0508;72.5
180.1755102;27.4;0.795918;80.7692;76.6
180.9714286;27.5;0.734694;75.3846;78.3
181.7061224;27.6;0.697959;81.6667;82.8
182.4040816;27.7;0.734694;85.9649;79.4
183.1387755;27.8;0.918367;81.6667;82.9
184.0571429;28.1;0.739048;65.3333;82.7
184.7961905;28.2;0.718095;81.1856;83.1
185.5142857;28.3;0.657143;83.5544;82.4
186.1714286;28.4;0.587755;91.3043;77.1
186.7591837;28.5;0.702041;102.083;80.7
187.4612245;28.6;0.840816;85.4651;72.8
188.3020408;28.7;0.632653;71.3592;78.6
188.9346939;28.8;0.795918;94.8387;76.8
189.7306122;29.1;0.746939;75.3846;85
190.477551;29.2;0.673469;80.3279;77.8
191.1510204;29.3;0.718367;89.0909;76.6
191.8693878;29.4;0.738775;83.5227;81.4
192.6081633;29.5;0.718367;81.2155;82.9
193.3265306;29.6;0.795193;83.5227;78.9
194.1217234;29.7;0.719093;75.4534;78.2
194.8408163;29.8;0.918367;83.4384;75.4
195.7591837;30.1;0.697959;65.3333;77.6
196.4571429;30.2;0.881633;85.9649;74.9
197.3387755;30.3;0.795918;68.0556;78.7
198.1346939;30.4;0.885714;75.3846;71.4
199.0204082;30.5;0.800113;67.7419;76.2
199.8205215;30.6;0.906009;74.9894;69.5
200.7265306;30.7;0.81771;66.2245;70.5
201.5442404;30.8;0.912472;73.3757;65.4
202.456712;31.1;0.971859;65.7555;61
203.4285714;31.2;1.10612;61.7373;58.3
204.5346939;31.3;0.818027;54.2435;61.3
205.3527211;31.4;0.888095;73.3472;57.9
206.2408163;31.5;0.717506;67.5603;64.3
206.958322;31.6;0.866168;83.623;56.6
207.8244898;31.7;0.722449;69.2706;67
208.5469388;31.8;1.08163;83.0508;60.9
209.6285714;32.1;0.782744;55.4717;66.9
210.4113152;32.2;0.891746;76.6534;59.4
211.3030612;32.3;0.909184;67.2837;59
212.2122449;32.4;0.926531;65.9933;56.6
213.1387755;32.5;0.832789;64.7577;65
213.9715646;32.6;0.901905;72.0471;58.8
214.8734694;32.7;0.967347;66.5259;61
215.8408163;32.8;1.18776;62.0253;56.3
217.0285714;33.1;0.77551;50.5155;61.9
217.8040816;33.2;0.808163;77.3684;57.2
218.6122449;33.3;0.819229;74.2424;62.3
219.4314739;33.4;0.988934;73.2396;53.4
220.4204082;33.5;0.934694;60.6714;63
221.355102;33.6;0.832653;64.1921;59.3
222.1877551;33.7;0.938776;72.0588;57.5
223.1265306;33.8;1.05714;63.913;56.1
224.1836735;34.1;0.759184;56.7568;59.7
224.9428571;34.2;0.746939;79.0323;62.8
225.6897959;34.3;0.82449;80.3279;68.2
226.5142857;34.4;0.836735;72.7723;56.4
227.3510204;34.5;0.84898;71.7073;64.5
228.2;34.6;0.816327;70.6731;63.9
229.0163265;34.7;0.840816;73.5;63.6
229.8571429;34.8;1.11837;71.3592;62.2
230.9755102;35.1;0.783673;53.6496;56
231.7591837;35.2;0.832653;76.5625;58.4
232.5918367;35.3;0.816327;72.0588;62.2
