Onset;Bar.Semiquaver;Duration (s);Tempo (bpm);Intensity (dB)
0.405333333;1.1;0.794667;0;70.5
1.2;1.2;0.832;75.5034;67.2
2.032;1.3;0.789333;72.1154;69.2
2.821333333;1.4;0.778667;76.0135;65.1
3.6;1.5;0.789333;77.0548;74
4.389333333;1.6;0.816;76.0135;72.5
5.205333333;1.7;0.805333;73.5294;71.2
6.010666667;1.8;0.837333;74.5033;71.9
6.848;2.1;0.832;71.6561;78.2
7.68;2.2;0.8;72.1154;73.3
8.48;2.3;0.848;75;71.9
9.328;2.4;0.805333;70.7547;67.2
10.13333333;2.5;0.917333;74.5033;58.2
11.05066667;2.6;0.864;65.407;68.5
11.91466667;2.7;0.725333;69.4444;74
12.64;2.8;0.821333;82.7206;64.7
13.46133333;3.1;0.8;73.0519;65.8
14.26133333;3.2;0.826667;75;63.7
15.088;3.3;0.826667;72.5806;75.1
15.91466667;3.4;0.8;72.5806;67.9
16.71466667;3.5;0.832;75;71
17.54666667;3.6;0.736;72.1154;61.6
18.28266667;3.7;0.841156;81.5217;75.3
19.12382292;3.8;0.780177;71.3304;70.3
19.904;4.1;0.853333;76.9056;71.5
20.75733333;4.2;0.864948;70.3125;73.6
21.62228125;4.3;0.863052;69.3683;67.9
22.48533333;4.4;0.853333;69.5207;72.4
23.33866667;4.5;1.05553;70.3125;60.2
24.39419792;4.6;0.917802;56.8434;66.7
25.312;4.7;0.970667;65.3736;62.1
26.28266667;4.8;1.184;61.8132;57.6
27.46666667;5.1;0.896;50.6757;59.4
28.36266667;5.2;0.821333;66.9643;69.9
29.184;5.3;0.810667;73.0519;64.4
29.99466667;5.4;0.789333;74.0132;63.8
30.784;5.5;0.773333;76.0135;66.5
31.55733333;5.6;0.762021;77.5862;70
32.31935417;5.7;0.774312;78.738;65.8
33.09366667;5.8;0.783667;77.4881;62.6
33.87733333;6.1;0.832;76.5632;64.1
34.70933333;6.2;0.704;72.1154;64.1
35.41333333;6.3;0.746667;85.2273;69
36.16;6.4;0.725333;80.3571;72.6
36.88533333;6.5;0.816;82.7206;68.5
37.70133333;6.6;0.794667;73.5294;67.6
38.496;6.7;0.810667;75.5034;69.8
39.30666667;6.8;0.842667;74.0132;62.7
40.14933333;7.1;0.874667;71.2025;63.1
41.024;7.2;0.725333;68.5976;64.6
41.74933333;7.3;0.768;82.7206;67.8
42.51733333;7.4;0.725333;78.125;72.6
43.24266667;7.5;0.736;82.7206;72.3
43.97866667;7.6;0.725333;81.5217;73.4
44.704;7.7;0.746667;82.7206;71.9
45.45066667;7.8;0.853333;80.3571;74.5
46.304;8.1;0.757333;70.3125;71.9
47.06133333;8.2;0.682667;79.2253;73.4
47.744;8.3;0.714667;87.8906;70.9
48.45866667;8.4;0.682667;83.9552;71.2
49.14133333;8.5;0.821333;87.8906;75
49.96266667;8.6;0.672;73.0519;69.6
50.63466667;8.7;0.672;89.2857;74.2
51.30666667;8.8;0.629333;89.2857;75
51.936;9.1;0.804;95.339;73.7
52.74;9.2;1.20133;74.6269;72.5
53.94133333;9.3;0.949333;49.9445;73.1
54.89066667;9.4;0.810667;63.2022;69.7
55.70133333;9.5;0.693333;74.0132;64.6
56.39466667;9.6;0.757333;86.5385;72.5
57.152;9.7;0.938667;79.2253;72.1
58.09066667;9.8;0.789333;63.9205;73.8
58.88;10.1;0.757333;76.0135;70.6
59.63733333;10.2;0.725333;79.2253;74.4
60.36266667;10.3;0.8;82.7206;75.7
61.16266667;10.4;0.778667;75;72.6
61.94133333;10.5;0.818667;77.0548;71.9
