Onset;Bar.Minim;Duration (s);Tempo (bpm);Intensity (dB)
131.7500227;68.1;1.23329;50.1431;67
132.9833107;68.2;1.18515;48.6504;59
134.168458;69.1;1.2839;50.6266;65.3
135.4523583;69.2;1.31317;46.7326;65.8
136.7655329;70.1;1.0449;45.6908;66.8
137.8104308;70.2;1.01007;57.4219;72
138.8204989;71.1;1.12617;59.4019;74.4
139.9466667;71.2;1.12154;53.278;66.2
141.0682086;72.1;1.0263;53.4978;60.2
142.0945125;72.2;0.975238;58.4622;62.5
143.0697506;73.1;1.03329;61.5234;69.3
144.1030385;73.2;1.05651;58.0671;70.5
145.1595465;74.1;1.02397;56.7909;74
146.1835147;74.2;1.29803;58.5956;76.9
147.481542;75.1;1.64862;46.224;66.6
149.1301587;75.2;1.6254;36.3941;58.7
150.7555556;76.1;0.893968;36.9141;61.3
151.6495238;76.2;0.89644;67.1165;59.1
152.5459637;77.1;0.856667;66.9314;65.1
153.4026304;77.2;0.889456;70.0389;61.2
154.2920862;78.1;0.828821;67.457;69.2
155.120907;78.2;0.870748;72.392;69.3
155.9916553;79.1;0.859138;68.9062;71.1
156.8507937;79.2;0.862154;69.8374;73.3
157.7129478;80.1;0.925782;69.5931;76.7
158.6387302;80.2;0.824308;64.8101;72
159.4630385;81.1;0.879773;72.7883;69.4
160.3428118;81.2;0.826893;68.1994;68.3
161.1697052;82.1;0.887143;72.5607;70.4
162.0568481;82.2;0.836009;67.6329;67.4
162.8928571;83.1;0.863152;71.7696;72.2
163.7560091;83.2;0.896689;69.5127;68.6
164.6526984;84.1;0.824308;66.9128;75.2
165.4770068;84.2;0.839909;72.7883;76.1
166.3169161;85.1;0.851088;71.4363;75.7
167.1680045;85.2;0.816757;70.498;77.4
167.9847619;86.1;0.882064;73.4612;78.2
168.8668254;86.2;0.801383;68.0223;79.3
169.6682086;87.1;0.859138;74.8705;77.8
170.5273469;87.2;0.812698;69.8374;77.6
171.3400454;88.1;0.859138;73.8281;75.2
172.1991837;88.2;0.812698;69.8374;76.5
173.0118821;89.1;0.847279;73.8281;74.7
173.859161;89.2;0.814649;70.8149;79.1
174.6738095;90.1;0.879252;73.6514;79
175.5530612;90.2;0.802494;68.2398;78.6
176.3555556;91.1;0.940408;74.7669;79.4
177.2959637;91.2;0.824648;63.8021;78.1
178.1206122;92.1;0.818889;72.7583;72.1
178.9395011;92.2;0.810862;73.27;74.2
179.7503628;93.1;0.796395;73.9954;73.5
180.5467574;93.2;0.823333;75.3395;80
181.3700907;94.1;0.802063;72.8745;81.5
182.1721542;94.2;0.986848;74.807;80.4
183.1590023;95.1;1.69506;60.7996;79.7
184.854059;95.2;0.998458;35.397;64
185.852517;96.1;1.18422;60.0927;70
187.0367347;96.2;0.905578;50.6664;69.8
187.9423129;97.1;1.00517;66.256;71.2
188.947483;97.2;0.887256;59.6914;67.8
189.8347392;98.1;0.824308;67.6242;71.1
190.6590476;98.2;0.847528;72.7883;74.6
191.506576;99.1;0.963628;70.7941;83
192.4702041;99.2;0.847551;62.2647;74.3
193.3177551;100.1;0.780748;70.7922;71.4
194.0985034;100.2;0.867846;76.8493;73.8
194.9663492;101.1;0.893968;69.1367;81.2
195.8603175;101.2;0.835918;67.1165;70.7
196.6962358;102.1;0.851565;71.7773;77.4
197.5478005;102.2;0.855102;70.4585;72.6
198.4029025;103.1;0.843129;70.1671;77.2
199.2460317;103.2;0.826372;71.1635;74.3
200.0724036;104.1;0.837188;72.6065;73.6
200.9095918;104.2;0.918254;71.6685;75.2
201.8278458;105.1;1.60218;65.3414;75.7
203.4300227;105.2;1.07973;37.449;68.2
204.5097506;106.1;1.12617;55.5696;67.4
205.6359184;106.2;1.06812;53.278;65.9
206.7040363;107.1;1.13447;56.1736;64.6
207.8385034;107.2;1.18753;52.8883;64.1
209.0260317;108.1;1.2771;50.5251;69.3
210.3031293;108.2;1.03329;46.9815;65.2
211.3364172;109.1;1.02168;58.0671;66
212.3580952;109.2;1.05651;58.7269;65.6
213.4146032;110.1;0.986848;56.7909;73.9
214.4014512;110.2;1.03605;60.7996;73.3
215.4375057;111.1;1.0073;57.912;70.8
216.4448073;111.2;1.02204;59.5651;73.3
217.4668481;112.1;0.998095;58.7061;70.7
218.4649433;112.2;0.998458;60.1145;74
219.4634014;113.1;0.998458;60.0927;72.4
220.4618594;113.2;0.986848;60.0927;75.8
221.4487075;114.1;0.954717;60.7996;74.6
222.403424;114.2;1.09091;62.8459;75.8
223.4943311;115.1;1.07746;55.0001;80.7
224.5717914;115.2;0.87229;55.6865;74.5
225.4440816;116.1;0.857596;68.7844;71.9
226.301678;116.2;0.856735;69.963;72.6
227.1584127;117.1;0.861542;70.0333;73.6
228.0199546;117.2;0.824308;69.6426;71.7
228.844263;118.1;0.812698;72.7883;72.3
229.6569615;118.2;0.847528;73.8281;75.4
230.5044898;119.1;0.957211;70.7941;84
231.4617007;119.2;0.830726;62.6821;77.8
232.2924263;120.1;0.85517;72.226;80.1
233.1475964;120.2;0.835805;70.1615;79.9
233.9834014;121.1;0.87483;71.7871;80.4
234.8582313;121.2;0.824308;68.5848;78.4
235.6825397;122.1;0.824308;72.7883;75.1
236.5068481;122.2;0.893968;72.7883;80.2
237.4008163;123.1;1.35837;67.1165;80.2
238.7591837;123.2;0.986848;44.1707;67.5
239.7460317;124.1;1.0449;60.7996;70.2
240.7909297;124.2;0.910295;57.4219;69.1
241.7012245;125.1;1.0634;65.9127;70.9
242.7646259;125.2;0.952018;56.4227;65.6
243.716644;126.1;0.824308;63.024;68
244.5409524;126.2;1.11456;72.7883;66.2
245.6555102;127.1;1.161;53.833;70.5
246.8165079;127.2;1.13778;51.6797;61.4
247.9542857;128.1;1.03571;52.7344;73.5
248.99;128.2;1.26295;57.931;63.4
250.2529478;129.1;1.09608;47.5079;71.1
251.3490249;129.2;1.21442;54.7407;63
252.5634467;130.1;1.07864;49.4062;66.3
253.6420862;130.2;1.12565;55.6256;56.4
254.7677324;131.1;1.37159;53.3027;65.5
256.1393197;131.2;1.33515;43.7449;62.4
257.4744671;132.1;1.06585;44.9389;64.6
258.5403175;132.2;0.931066;56.2931;68.3
259.4713832;133.1;0.952018;64.4423;60.6
260.4234014;133.2;0.917188;63.024;69
261.3405896;134.1;0.952018;65.4173;64.7
262.2926077;134.2;0.940408;63.024;66.4
263.2330159;135.1;0.917188;63.8021;62.6
264.1502041;135.2;0.893968;65.4173;61.5
265.0441723;136.1;0.975238;67.1165;65.3
266.0194104;136.2;0.893968;61.5234;67.5
266.9133787;137.1;0.952018;67.1165;66.2
267.8653968;137.2;0.893968;63.024;66.7
268.7593651;138.1;0.919229;67.1165;66.4
269.6785941;138.2;0.961587;65.2721;69.5
270.6401814;139.1;0.917415;62.3968;70.6
271.5575964;139.2;0.918345;65.4012;65.6
272.475941;140.1;0.927415;65.3349;69.1
273.403356;140.2;0.917188;64.696;65.1
274.3205442;141.1;0.870748;65.4173;70.2
275.1912925;141.2;0.847528;68.9062;67.8
276.0388209;142.1;0.893968;70.7941;75.5
276.9327891;142.2;0.905578;67.1165;71.8
277.8383673;143.1;0.986848;66.256;77.8
278.8252154;143.2;0.859252;60.7996;77.3
279.6844671;144.1;0.917075;69.8282;75.1
280.601542;144.2;0.893968;65.4254;76.5
281.4955102;145.1;0.940408;67.1165;73.8
282.4359184;145.2;0.882358;63.8021;74.8
283.3182766;146.1;0.917188;67.9996;77.2
284.2354649;146.2;0.882358;65.4173;70.7
285.1178231;147.1;0.963628;67.9996;71.5
286.0814512;147.2;0.887778;62.2647;68
286.969229;148.1;0.934989;67.5845;70.5
287.9042177;148.2;0.882358;64.1719;73.7
288.786576;149.1;0.917188;67.9996;73.3
289.7037642;149.2;0.928798;65.4173;73.2
290.6325624;150.1;0.882358;64.5996;72.9
291.5149206;150.2;0.882358;67.9996;71.5
292.3972789;151.1;0.917188;67.9996;74.2
293.3144671;151.2;0.921429;65.4173;77.4
294.2358957;152.1;1.06306;65.1163;79
295.2989569;152.2;1.1502;56.4408;78.3
296.449161;153.1;0.802041;52.1647;74.8
297.2512018;153.2;1.01469;74.8092;78.3
298.2658957;154.1;0.860839;59.1311;74.5
299.1267347;154.2;0.949524;69.6994;76.6
300.0762585;155.1;0.982063;63.1896;75.5
301.058322;155.2;0.928798;61.0958;75.7
301.9871202;156.1;1.05993;64.5996;76.6
303.0470522;156.2;0.936984;56.6074;75.4
303.9840363;157.1;0.968798;64.0352;73.6
304.9528345;157.2;0.946848;61.9324;80.8
305.8996825;158.1;1.07973;63.3681;79.8
306.9794104;158.2;0.850068;55.5696;78.4
