Onset;Bar.Quaver;Duration (s);Tempo (bpm);Intensity (dB)
35.052;26.6;0.264;340.909;68.9
35.316;27.1;0.196;227.273;67.2
35.512;27.2;0.236;306.122;67.4
35.748;27.3;0.255042;254.237;66.4
36.00304167;27.4;0.228958;235.256;60.2
36.232;27.5;0.24;262.056;63.8
36.472;27.6;0.272;250;60.1
36.744;28.1;0.326469;220.588;61.1
37.07046875;28.2;0.358583;183.785;59.4
37.42905208;28.3;0.370948;167.325;57.2
37.8;28.4;0.384;161.748;52
38.184;28.5;0.232;156.25;55.9
38.416;28.6;0.225125;258.621;59.7
38.641125;29.1;0.206875;266.519;65.3
38.848;29.2;0.212;290.03;68.2
39.06;29.3;0.244;283.019;65.2
39.304;29.4;0.208;245.902;56.4
39.512;29.5;0.236;288.462;65
39.748;29.6;0.248;254.237;56.6
39.996;30.1;0.24;241.935;61.8
40.236;30.2;0.204;250;66.6
40.44;30.3;0.192;294.118;62.9
40.632;30.4;0.228;312.5;58.9
40.86;30.5;0.224;263.158;62.2
41.084;30.6;0.208;267.857;57.7
41.292;31.1;0.22;288.462;62.5
41.512;31.2;0.224;272.727;67.8
41.736;31.3;0.24;267.857;67.8
41.976;31.4;0.164;250;59.5
42.14;31.5;0.252;365.854;70.3
42.392;31.6;0.24;238.095;58
42.632;32.1;0.204;250;69.7
42.836;32.2;0.244;294.118;73.5
43.08;32.3;0.176;245.902;67.8
43.256;32.4;0.22;340.909;63.1
43.476;32.5;0.208;272.727;66.7
43.684;32.6;0.233906;288.462;64.4
43.91790625;33.1;0.214094;256.513;66.9
44.132;33.2;0.224;280.251;71.1
44.356;33.3;0.208;267.857;64.9
44.564;33.4;0.228;288.462;56.8
44.792;33.5;0.232;263.158;64.6
45.024;33.6;0.232;258.621;51.9
45.256;34.1;0.216;258.621;63.6
45.472;34.2;0.196;277.778;69
45.668;34.3;0.236;306.122;66.6
45.904;34.4;0.192;254.237;59.9
46.096;34.5;0.204;312.5;64.5
46.3;34.6;0.208;294.118;66.9
46.508;35.1;0.236198;288.462;67.6
46.74419792;35.2;0.203802;254.024;74.1
46.948;35.3;0.204;294.403;68.1
47.152;35.4;0.232;294.118;59.6
47.384;35.5;0.216;258.621;65.5
47.6;35.6;0.308;277.778;54.3
47.908;36.1;0.240313;194.805;64.3
48.1483125;36.2;0.22374;249.675;68.1
48.37205208;36.3;0.205531;268.169;69.5
48.57758333;36.4;0.198417;291.926;67.7
48.776;36.5;0.196;302.394;64.8
48.972;36.6;0.216;306.122;64.4
49.188;37.1;0.224;277.778;65.1
49.412;37.2;0.24;267.857;74.4
49.652;37.3;0.276;250;64
49.928;37.4;0.26;217.391;59.9
50.188;37.5;0.336;230.769;64.4
50.524;37.6;0.348;178.571;58.7
50.872;38.1;0.284;172.414;60.8
51.156;38.2;0.204;211.268;63.2
51.36;38.3;0.208;294.118;62.7
51.568;38.4;0.22;288.462;68
51.788;38.5;0.225615;272.727;67.3
52.01361458;38.6;0.278385;265.94;67.6
52.292;39.1;0.216;215.529;68.4
52.508;39.2;0.276;277.778;69.3
52.784;39.3;0.228;217.391;68.7
53.012;39.4;0.215177;263.158;70.6
53.22717708;39.5;0.244823;278.84;67.7
53.472;39.6;0.18;245.075;69
53.652;40.1;0.212;333.333;68
53.864;40.2;0.204;283.019;68.9
54.068;40.3;0.212;294.118;70.7
54.28;40.4;0.232;283.019;70.7
54.512;40.5;0.204;258.621;71.4
54.716;40.6;0.236;294.118;73.3
54.952;41.1;0.172;254.237;70.5
55.124;41.2;0.228;348.837;69.5
55.352;41.3;0.232;263.158;66.4
55.584;41.4;0.224;258.621;65.7
55.808;41.5;0.228;267.857;66.3
56.036;41.6;0.236;263.158;64.8
56.272;42.1;0.252;254.237;67.5
56.524;42.2;0.228;238.095;68.1
56.752;42.3;0.2;263.158;67
56.952;42.4;0.237188;300;72.4
57.1891875;42.5;0.226812;252.964;71.6
57.416;42.6;0.233646;264.536;68.8
57.64964583;43.1;0.222354;256.799;70.1
57.872;43.2;0.24776;269.84;70.7
58.11976042;43.3;0.21224;242.169;71.4
58.332;43.4;0.24;282.699;72.4
58.572;43.5;0.208;250;70.7
58.78;43.6;0.212;288.462;70.2
58.992;44.1;0.208;283.019;71.2
59.2;44.2;0.232;288.462;72.4
59.432;44.3;0.192;258.621;72.7
59.624;44.4;0.228;312.5;73.4
59.852;44.5;0.2;263.158;72.7
60.052;44.6;0.232;300;72.3
60.284;45.1;0.196;258.621;72.3
60.48;45.2;0.2;306.122;77.2
60.68;45.3;0.24;300;69.8
60.92;45.4;0.212;250;71.2
61.132;45.5;0.192;283.019;70.1
61.324;45.6;0.244;312.5;74.2
61.568;46.1;0.24;245.902;71.1
61.808;46.2;0.22;250;71.3
62.028;46.3;0.208;272.727;70.5
62.236;46.4;0.208;288.462;72.6
62.444;46.5;0.226281;288.462;74.4
62.67028125;46.6;0.217719;265.157;70.2
62.888;47.1;0.224;275.585;76.9
63.112;47.2;0.208;267.857;70.1
63.32;47.3;0.196;288.462;72.5
63.516;47.4;0.2;306.122;69.2
63.716;47.5;0.208;300;73.8
63.924;47.6;0.2;288.462;73
64.124;48.1;0.22;300;76.5
64.344;48.2;0.216;272.727;74.4
64.56;48.3;0.212;277.778;72.3
64.772;48.4;0.232;283.019;74.5
