Onset;Bar.Semiquaver;Duration (s);Tempo (bpm);Intensity (dB)
1.141333333;1.1;0.810667;0;63.8
1.952;1.2;0.725333;74.0132;60.4
2.677333333;1.3;0.789333;82.7206;64.6
3.466666666;1.4;0.810667;76.0135;61.6
4.277333333;1.5;0.8;74.0132;71.4
5.077333333;1.6;0.746667;75;66.5
5.824;1.7;0.768;80.3571;67.3
6.592;1.8;0.768;78.125;64.4
7.36;2.1;0.8;78.125;76
8.16;2.2;0.768;75;72.8
8.928;2.3;0.757333;78.125;69.4
9.685333333;2.4;0.8;79.2253;71
10.48533333;2.5;0.842667;75;68.7
11.328;2.6;0.768;71.2025;62.3
12.096;2.7;0.746667;78.125;59.9
12.84266667;2.8;0.736;80.3571;56.6
13.57866667;3.1;0.725333;81.5217;52
14.304;3.2;0.757333;82.7206;64.5
15.06133333;3.3;0.757333;79.2253;66.6
15.81866667;3.4;0.853333;79.2253;63.4
16.672;3.5;0.832;70.3125;65.9
17.504;3.6;0.874667;72.1154;56.5
18.37866667;3.7;0.864;68.5976;67.6
19.24266667;3.8;0.917333;69.4444;70
20.16;4.1;0.810667;65.407;66.6
20.97066667;4.2;0.864;74.0132;67.9
21.83466667;4.3;0.799875;69.4444;67.2
22.63454167;4.4;1.05613;75.0117;64.8
23.69066667;4.5;0.928;56.8115;55.8
24.61866667;4.6;0.768;64.6552;64.6
25.38666667;4.7;0.810667;78.125;63.7
26.19733333;4.8;1.024;74.0132;60.1
27.22133333;5.1;0.736;58.5938;62.3
27.95733333;5.2;0.682667;81.5217;61
28.64;5.3;0.704;87.8906;65
29.344;5.4;0.736;85.2273;65.7
30.08;5.5;0.704;81.5217;65.7
30.784;5.6;0.714667;85.2273;64.6
31.49866667;5.7;0.736;83.9552;64.8
32.23466667;5.8;0.864;81.5217;67.9
33.09866667;6.1;0.693333;69.4444;66.6
33.792;6.2;0.714667;86.5385;69.7
34.50666667;6.3;0.704;83.9552;66.8
35.21066667;6.4;0.704;85.2273;66.3
35.91466667;6.5;0.704;85.2273;67.6
36.61866667;6.6;0.810667;85.2273;67.7
37.42933333;6.7;0.768;74.0132;70.6
38.19733333;6.8;0.731271;78.125;65.5
38.92860417;7.1;0.687396;82.0489;67.6
39.616;7.2;0.693333;87.2859;72.4
40.30933333;7.3;0.661333;86.5385;73.6
40.97066667;7.4;0.693333;90.7258;73
41.664;7.5;0.714667;86.5385;71
42.37866667;7.6;0.725333;83.9552;70.9
43.104;7.7;0.821333;82.7206;70.4
43.92533333;7.8;0.874667;73.0519;73.9
44.8;8.1;0.736;68.5976;75
45.536;8.2;0.672;81.5217;74.6
46.208;8.3;0.714667;89.2857;76.8
46.92266667;8.4;0.736;83.9552;73.6
47.65866667;8.5;0.736;81.5217;73.9
48.39466667;8.6;0.650667;81.5217;71.2
49.04533333;8.7;0.693333;92.2131;73
49.73866667;8.8;0.725333;86.5385;66.1
50.464;9.1;0.736;82.7206;72.2
51.2;9.2;0.96;81.5217;68.5
52.16;9.3;1.01333;62.5;69.3
53.17333333;9.4;0.832;59.2105;66.4
54.00533333;9.5;0.757333;72.1154;61.7
54.76266667;9.6;0.778667;79.2253;68.4
55.54133333;9.7;0.789333;77.0548;68.5
56.33066667;9.8;0.8;76.0135;71.5
57.13066667;10.1;0.672;75;74.7
57.80266667;10.2;0.672;89.2857;77.3
58.47466667;10.3;0.704;89.2857;76.6
59.17866667;10.4;0.682667;85.2273;72.4
59.86133333;10.5;0.746667;87.8906;74.7
60.608;10.6;0.768;80.3571;72.9
61.376;10.7;0.650667;78.125;71.6
62.02666667;10.8;0.661333;92.2131;69.9
62.688;11.1;0.661333;90.7258;66.2
63.34933333;11.2;0.736;90.7258;70.4
64.08533333;11.3;0.746667;81.5217;64.5
64.832;11.4;0.672;80.3571;63.2
65.504;11.5;0.842667;89.2857;63.8
66.34666667;11.6;0.821333;71.2025;67.5
67.168;11.7;1.07733;73.0519;65.6
68.24533333;11.8;1.184;55.6931;57.2
69.42933333;12.1;0.821333;50.6757;65.6
70.25066667;12.2;0.725333;73.0519;67.3
70.976;12.3;0.650667;82.7206;64.2
71.62666667;12.4;0.650667;92.2131;65.2
72.27733333;12.5;0.663688;92.2131;65
