Onset;Bar;Duration (s);Tempo (bpm);Intensity (dB)
238.3600907;3;1.20091;48.3553;72.1
239.5609977;4;1.16544;49.9622;71.5
240.7264399;5;1.19283;51.4826;71.1
241.9192744;6;1.14066;50.3004;67.9
243.059932;7;1.21399;52.6012;72.2
244.2739229;8;1.18277;49.4238;72.4
245.4566893;9;1.24444;50.7285;67.8
246.7011338;10;1.32426;48.2143;67.9
248.0253968;11;1.24082;45.3082;71
249.2662132;12;1.25896;48.3553;69.2
250.5251701;13;1.25896;47.6585;70.6
251.784127;14;1.4585;47.6585;68.3
253.2426304;15;1.50567;41.1381;68.5
254.7482993;16;1.2517;39.8494;67
256;17;1.32712;47.9348;70.9
257.3271202;18;1.18354;45.2107;69.7
258.5106576;19;1.25896;50.6955;74.9
259.7696145;20;1.24444;47.6585;74.6
261.014059;21;1.18639;48.2143;77.2
262.2004535;22;1.18639;50.5734;72.9
263.3868481;23;1.26621;50.5734;75.1
264.6530612;24;1.26621;47.3854;69
265.9192744;25;1.26984;47.3854;74.5
267.1891156;26;1.3932;47.25;68.8
268.5823129;27;1.38231;43.0664;66.9
269.9646259;28;1.51655;43.4055;63.9
271.4811791;29;1.3678;39.5634;72.6
272.8489796;30;1.21905;43.866;71.1
274.0680272;31;1.2517;49.2188;70.3
275.3197279;32;1.2771;47.9348;71.6
276.5968254;33;1.2771;46.9815;68.6
277.8739229;34;1.23719;46.9815;72.2
279.1111111;35;1.36054;48.4971;74.1
280.4716553;36;1.21179;44.1;68.5
281.6834467;37;1.47664;49.5135;69.9
283.1600907;38;1.3424;40.6327;66.9
284.5024943;39;1.33152;44.6959;71
285.8340136;40;1.21542;45.0613;77
287.0494331;41;1.29161;49.3657;77.3
288.3410431;42;1.22268;46.4537;71.8
289.5637188;43;1.32789;49.0727;77.3
290.89161;44;1.3385;45.1844;76.7
292.2301134;45;1.58576;44.8262;74.3
293.815873;46;1.21542;37.8368;70
295.0312925;47;1.24444;49.3657;74.8
296.275737;48;1.09206;48.2143;74.1
297.3678005;49;1.24807;54.9419;77.6
298.615873;50;1.13197;48.0741;72.4
299.7478458;51;1.15737;53.0048;74.8
300.9052154;52;1.1102;51.8417;77.9
302.0154195;53;1.17138;54.0441;78.3
303.1868027;54;1.12159;51.2215;78.9
304.30839;55;1.09206;53.4956;79.9
305.4004535;56;1.09206;54.9419;81.4
306.492517;57;1.09569;54.9419;82.6
307.5882086;58;1.15374;54.7599;82.8
308.7419501;59;1.37143;52.0047;74
310.1133787;60;1.24444;43.75;68.2
311.3578231;61;1.19365;48.2143;71.8
312.5514739;62;1.16825;50.266;70.1
313.7197279;63;1.16825;51.3587;72.5
314.8879819;64;1.15011;51.3587;69.5
316.0380952;65;1.16463;52.1688;72.7
317.2027211;66;1.19574;51.5187;74.6
318.3984581;67;1.28227;50.1783;76.1
319.6807256;68;1.38594;46.7921;70.4
321.0666667;69;1.33086;43.2919;69.5
322.3975283;70;1.5027;45.0836;69.8
323.9002268;71;1.30612;39.9282;70.2
325.2063492;72;1.44036;45.9375;67.6
326.646712;73;1.62902;41.6562;62.8
328.275737;74;1.66168;36.8318;64.6
329.937415;75;1.86848;36.1081;66.4
331.8058957;76;0;32.1117;67.3
