Onset;Bar;Duration (s);Tempo (bpm);Intensity (dB)
308.9306122;148;1.86122;30.0839;72.8
310.7918367;149;1.90615;32.2368;79.3
312.6979819;150;1.91426;31.4771;81.3
314.6122449;151;1.98367;31.3437;80.5
316.5959184;152;2.9551;30.2469;80.2
319.5510204;153;2.22041;20.3039;77.7
321.7714286;154;2;27.0221;77.5
323.7714286;155;2.08163;30;77.2
325.8530612;156;2.17143;28.8235;75.3
328.0244898;157;2.19592;27.6316;75.2
330.2204082;158;2.13878;27.3234;85.2
332.3591837;159;1.9102;28.0534;83.4
334.2693878;160;1.89515;31.4103;80.5
336.1645351;161;2.13653;31.6598;81.9
338.3010658;162;2.09535;28.0829;83.1
340.3964172;163;1.87844;28.6348;81.7
342.2748526;164;1.90474;31.9415;81.8
344.1795918;165;1.89388;31.5004;74.4
346.0734694;166;1.95102;31.681;78.3
348.0244898;167;1.99184;30.7531;78.8
350.0163265;168;2.00816;30.123;79.5
352.0244898;169;2.56327;29.878;78.8
354.5877551;170;2.31837;23.4076;80.9
356.9061224;171;2.10011;25.8803;73.8
359.0062358;172;2.21825;28.5699;74.3
361.2244898;173;2.36735;27.0483;72.1
363.5918367;174;3.26531;25.3448;68.8
366.8571429;175;1.80408;18.375;71.4
368.6612245;176;1.6;33.2579;74.1
370.2612245;177;1.64898;37.5;73.5
371.9102041;178;1.64898;36.3861;76.4
373.5591837;179;1.64898;36.3861;75
375.2081633;180;1.60816;36.3861;77.1
376.8163265;181;1.70612;37.3096;80.8
378.522449;182;1.80934;35.1675;76.1
380.3317914;183;1.88045;33.1612;71.3
382.2122449;184;1.80179;31.9072;77.7
384.0140363;185;1.62862;33.3002;72.1
385.6426531;186;1.85939;36.8411;79
387.5020408;187;2.00313;32.2687;77.8
389.5051701;188;2.38054;29.9531;79.3
391.8857143;189;1.90204;25.2043;82.5
393.7877551;190;1.68163;31.5451;81.6
395.4693878;191;1.70612;35.6796;82.7
397.1755102;192;1.65401;35.1675;78.7
398.8295238;193;1.71741;36.2754;82.9
400.5469388;194;1.66531;34.9362;83.1
402.2122449;195;1.70612;36.0294;81.8
403.9183673;196;1.59184;35.1675;78.5
405.5102041;197;2.01633;37.6923;82.6
407.5265306;198;0;29.7571;86.8
