Onset;Bar.Crotchet;Duration (s);Tempo (bpm);Intensity (dB)
86.384;48.3;0.586667;119.788;81.3
86.97066667;49.1;0.512;102.273;82.7
87.48266667;49.2;0.485333;117.188;83.3
87.968;49.3;0.565333;123.626;80.8
88.53333333;50.1;0.522667;106.132;79.6
89.056;50.2;0.474667;114.796;81.1
89.53066667;50.3;0.469333;126.404;81.7
90;51.1;0.48;127.841;79.6
90.48;51.2;0.48;125;77.3
90.96;51.3;0.501333;125;71
91.46133333;52.1;0.506667;119.681;73.2
91.968;52.2;0.485333;118.421;76.8
92.45333333;52.3;0.514427;123.626;74.5
92.96776042;53.1;0.50424;116.635;74
93.472;53.2;0.485333;118.991;78
93.95733333;53.3;0.48;123.626;75.4
94.43733333;54.1;0.490667;125;76.3
94.928;54.2;0.522667;122.283;78.3
95.45066667;54.3;0.501333;114.796;79.9
95.952;55.1;0.517333;119.681;80.3
96.46933333;55.2;0.525781;115.979;80.2
96.99511458;55.3;0.509469;114.116;80.1
97.50458333;56.1;0.543417;117.77;82.3
98.048;56.2;0.538667;110.413;83.4
98.58666667;56.3;0.490667;111.386;83.1
99.07733333;57.1;0.565333;122.283;79.4
99.64266667;57.2;0.656;106.132;81
100.2986667;57.3;0.725333;91.4634;82.2
101.024;58.1;0.698667;82.7206;77.5
101.7226667;58.2;0.544;85.8779;79.8
102.2666667;58.3;0.544;110.294;81
102.8106667;59.1;0.544;110.294;79.7
103.3546667;59.2;0.524958;110.294;81.3
103.879625;59.3;0.541708;114.295;82.9
104.4213333;60.1;0.597333;110.761;84.7
105.0186667;60.2;0.554667;100.446;77.8
105.5733333;60.3;0.56;108.173;83.1
106.1333333;61.1;0.533333;107.143;79.9
106.6666667;61.2;0.533333;112.5;77.5
107.2;61.3;0.56;112.5;79.4
107.76;62.1;0.56;107.143;79.9
108.32;62.2;0.517333;107.143;71.5
108.8373333;62.3;0.565333;115.979;76.7
109.4026667;63.1;0.576;106.132;76.1
109.9786667;63.2;0.522667;104.167;74.6
110.5013333;63.3;0.586667;114.796;75.2
111.088;64.1;0.629333;102.273;75.3
111.7173333;64.2;0.597333;95.339;69.2
