Onset;Bar.Quaver;Duration (s);Duration (s);Intensity (dB)
231.4979592;47.2;1.5102;46.7392;67.3
233.0081633;47.3;1.3044;39.7297;55.6
234.3125624;47.4;1.36703;45.9982;68.4
235.6795918;48.1;1.21039;43.8908;61.2
236.8899773;48.2;1.24227;49.571;61
238.1322449;48.3;1.14939;48.2988;65.1
239.2816327;48.4;1.30032;52.2017;65.1
240.5819501;49.1;1.09134;46.1426;65.4
241.673288;49.2;1.09134;54.9784;70.2
242.7646259;49.3;1.24227;54.9784;65.2
244.0068934;49.4;1.31773;48.2988;68.7
245.3246259;50.1;1.01007;45.5328;64.6
246.3346939;50.2;1.18422;59.4019;66.1
247.5189116;50.3;1.10875;50.6664;66.3
248.6276644;50.4;1.24227;54.1149;68.5
249.869932;51.1;1.13778;48.2988;69.6
251.0077098;51.2;1.07973;52.7344;70.5
252.0874376;51.3;1.13778;55.5696;69.8
253.2252154;51.4;1.33515;52.7344;70.3
254.5603628;52.1;1.33515;44.9389;67.5
255.8955102;52.2;1.30032;44.9389;66
257.1958277;52.3;1.22485;46.1426;66.7
258.4206803;52.4;1.24227;48.9855;67.6
259.6629478;53.1;1.2829;48.2988;66.3
260.9458503;53.2;1.22315;46.7689;65.8
262.1690023;53.3;1.41231;49.0536;62.6
263.5813152;53.4;1.19583;42.4835;69.5
264.7771429;54.1;1.25388;50.1745;72.9
266.0310204;54.2;1.24807;47.8516;66.1
267.279093;54.3;1.30655;48.0741;68.4
268.5856463;54.4;1.20637;45.9224;64.6
269.7920181;55.1;1.13261;49.7359;62
270.9246259;55.2;1.28288;52.9751;59.7
272.2075057;55.3;1.34882;46.7698;62.8
273.5563265;55.4;1.77429;44.4833;64.5
275.3306122;56.1;1.49769;33.8164;54.6
276.8282993;56.2;1.40481;40.0618;60.6
278.2331066;56.3;1.20744;42.7105;61.5
279.4405442;56.4;1.32934;49.692;63.3
280.7698866;57.1;1.27129;45.1351;68.3
282.0411791;57.2;1.31193;47.1961;61.8
283.3531066;57.3;1.35256;45.7342;67.7
284.7056689;57.4;1.45125;44.3602;62.6
286.1569161;58.1;1.31773;41.3438;63.8
287.4746485;58.2;1.31193;45.5328;61.6
288.786576;58.3;1.34095;45.7342;67.6
290.1275283;58.4;1.25388;44.7443;62.7
291.3814059;59.1;1.41642;47.8516;69
292.7978231;59.2;1.34095;42.3604;66.7
294.1387755;59.3;1.45705;44.7443;65.7
295.5958277;59.4;1.46866;41.179;59.5
297.0644898;60.1;1.2829;40.8535;63.4
298.3473923;60.2;1.19002;46.7689;65.7
299.537415;60.3;1.20735;50.4192;72.8
300.7447619;60.4;1.26558;49.6957;65.8
302.0103401;61.1;1.19122;47.4092;68
303.2015646;61.2;1.24771;50.3683;68.2
304.4492744;61.3;1.26526;48.0881;65
305.7145351;61.4;1.362;47.4211;65.3
307.0765306;62.1;1.6051;44.053;69.2
308.6816327;62.2;1.63354;37.3808;66.8
310.3151701;62.3;1.61544;36.7301;64
311.9306122;62.4;1.86385;37.1415;60.4
313.7944671;63.1;1.46286;32.1913;63.5
315.2573243;63.2;1.22485;41.0156;63.3
316.4821769;63.3;1.23937;48.9855;74.5
317.721542;63.4;1.20454;48.4119;70.2
318.9260771;64.1;1.19002;49.8117;77.8
320.1160998;64.2;1.12036;50.4192;73.3
321.2364626;64.3;1.13488;53.5541;70.2
322.3713379;64.4;1.24517;52.8692;74.5
323.6165079;65.1;1.13778;48.1862;77.2
324.7542857;65.2;1.26204;52.7344;75.8
326.0163265;65.3;1.25732;47.542;76.3
327.2736508;65.4;1.31002;47.7204;73.9
328.5836735;66.1;1.2449;45.8007;70.1
329.8285714;66.2;1.41224;48.1967;70.5
331.2408163;66.3;1.52435;42.4855;71.4
332.7651701;66.4;1.4012;39.3609;68.5
334.1663719;67.1;1.23771;42.8204;65
335.4040816;67.2;1.32383;48.4766;67.1
336.7279138;67.3;1.22719;45.323;65.9
337.955102;67.4;1.39592;48.8923;62.6
339.3510204;68.1;1.23927;42.9825;59.4
340.5902948;68.2;1.38159;48.4154;66.4
341.9718821;68.3;1.32354;43.4283;62.2
343.2954195;68.4;1.59057;45.3331;61.4
344.8859864;69.1;1.74259;37.7224;61.4
346.6285714;69.2;1.62431;34.4316;52
348.2528798;69.3;1.41651;36.9388;68.2
349.6693878;69.4;1.97959;42.3577;57
351.6489796;70.1;1.66531;30.3093;59.1
353.3142857;70.2;1.48571;36.0294;55.8
354.8;70.3;1.52181;40.3846;61.3
356.3218141;70.4;2.67029;39.4266;63
358.9921088;71.1;0;22.4694;57.5
