Onset;Bar.Quaver;Duration (s);Tempo (bpm);Intensity (dB)
0.818276643;1.1;1.68658;0;78.7
2.504852607;1.2;1.67474;35.575;74.1
4.179591836;1.3;1.66023;35.8265;76.3
5.839818594;1.4;1.82277;36.1396;76
7.662585034;2.1;1.4966;32.917;77.8
9.159183673;2.2;1.57134;40.0909;70.3
10.73052154;2.3;1.44834;38.184;71.4
12.17886621;2.4;1.56444;41.4266;70
13.74331066;3.1;1.53832;38.3523;67.1
15.28163265;3.2;1.77923;39.0035;67.6
17.06086168;3.3;1.64281;33.7225;61.2
18.70367347;3.4;1.79955;36.5227;77.3
20.50321995;4.1;1.70086;33.3417;74.8
22.20408163;4.2;1.75891;35.2762;71
23.9629932;4.3;1.63601;34.112;58.5
25.59900227;4.4;1.83828;36.6746;64.7
27.43727891;5.1;1.75601;32.6393;63.2
29.19328798;5.2;1.73279;34.1684;60.7
30.9260771;5.3;1.58766;34.6263;69.2
32.5137415;5.4;1.73279;37.7914;67.2
34.24653061;6.1;1.68054;34.6263;70.6
35.92707483;6.2;1.68517;35.7027;70.4
37.6122449;6.3;1.70204;35.6047;68
39.31428571;6.4;1.74705;35.2518;72
41.06133787;7.1;1.58356;34.3436;71.1
42.64489796;7.2;1.71429;37.8893;73.7
44.35918367;7.3;1.60181;35;69.7
45.96099773;7.4;1.67982;37.4575;76.5
47.64081633;8.1;1.70612;35.7181;77.3
49.34693878;8.2;1.67347;35.1675;72.5
51.02040816;8.3;1.7551;35.8537;73.4
52.7755102;8.4;1.71302;34.186;75.8
54.48852608;9.1;1.87066;35.0259;73.1
56.35918367;9.2;1.9171;32.0743;73.4
58.27628118;9.3;1.83728;31.2973;65.5
60.11356009;9.4;1.91855;32.657;71
62.03210884;10.1;1.87401;31.2736;69.6
63.90612245;10.2;1.40816;32.0168;77.5
65.31428571;10.3;1.41224;42.6087;76.6
66.72653061;10.4;1.3551;42.4855;73.4
68.08163265;11.1;1.47664;44.2771;71.9
69.55827664;11.2;1.75601;40.6327;70.3
71.31428571;11.3;2.12463;34.1684;68.1
73.43891156;11.4;2.96635;28.2403;65
76.40526077;12.1;1.73871;20.2269;63.3
78.14396825;12.2;1.45113;34.5084;65.3
79.59510204;12.3;1.30322;41.347;71.7
80.898322;12.4;1.36998;46.0398;71
82.26829932;13.1;1.50059;43.7963;70.3
83.76888889;13.2;1.43673;39.9843;70.9
85.20562358;13.3;1.52381;41.7614;70.1
86.72943311;13.4;1.61088;39.375;64.9
88.34031746;14.1;1.43927;37.2466;69.6
89.77959184;14.2;1.45306;41.6877;65.3
91.23265306;14.3;1.27347;41.2921;74
92.50612245;14.4;1.49796;47.1154;68.7
94.00408163;15.1;1.6273;40.0545;75.5
95.63138322;15.2;1.37467;36.8709;70.3
97.00605442;15.3;1.42333;43.6468;70.2
98.42938776;15.4;1.7502;42.1546;61.9
100.1795918;16.1;1.54413;34.2817;64.5
101.7237188;16.2;1.52091;38.8569;65.9
103.2446259;16.3;1.48898;39.4501;63.3
104.7336054;16.4;1.54413;40.2961;60
106.2777324;17.1;1.57025;38.8569;62.6
107.8479819;17.2;1.46286;38.2105;67.3
109.310839;17.3;1.58766;41.0156;64.5
110.8985034;17.4;1.57315;37.7914;59.6
112.4716553;18.1;1.56154;38.14;65.1
114.0331973;18.2;1.58766;38.4236;58.1
115.6208617;18.3;1.67184;37.7914;57.3
117.2926984;18.4;2.02014;35.8887;54.1
119.3128345;19.1;2.02594;29.701;59.8
121.3387755;19.2;1.66893;29.6159;52.1
123.0077098;19.3;1.75311;35.9511;43
124.7608163;19.4;1.84599;34.225;67.8
126.6068027;20.1;1.90404;32.5029;57.6
128.510839;20.2;2.02014;31.512;56.9
130.5309751;20.3;2.31039;29.701;64.6
132.8413605;20.4;2.22803;25.9697;55.2
135.0693878;21.1;1.36236;26.9297;57.2
136.431746;21.2;1.51111;44.0413;74
137.9428571;21.3;1.28689;39.7059;78.2
139.2297506;21.4;1.70086;46.6239;69.5
140.9306122;22.1;1.6;35.2762;69.4
142.5306122;22.2;1.85306;37.5;67
144.3836735;22.3;1.98331;32.3789;71.6
146.3669841;22.4;1.96209;30.2524;66.2
148.3290703;23.1;1.54413;30.5797;65.6
149.8731973;23.2;1.6254;38.8569;70.4
151.4985941;23.3;1.57896;36.9141;70
153.077551;23.4;1.81116;37.9998;73
154.8887075;24.1;1.68345;33.128;67.9
156.5721542;24.2;1.70667;35.6412;74.2
158.2788209;24.3;1.91565;35.1562;75.5
160.1944671;24.4;2.06948;31.321;70.8
162.2639456;25.1;1.43673;28.9928;71.9
163.7006803;25.2;1.40481;41.7614;78.7
165.1054875;25.3;1.35256;42.7105;77.6
166.4580499;25.4;1.50639;44.3602;83.3
167.9644444;26.1;1.41351;39.8302;80.8
169.3779592;26.2;1.44653;42.4474;76.4
170.8244898;26.3;1.59819;41.4786;75
172.4226757;26.4;1.72989;37.5426;77.7
174.1525624;27.1;1.40662;34.6844;64.9
175.5591837;27.2;1.37959;42.6554;76.8
176.9387755;27.3;1.46939;43.4911;82.8
178.4081633;27.4;1.98766;40.8333;79.6
180.3958277;28.1;1.2771;30.1862;82.9
181.6729252;28.2;1.25098;46.9815;80.1
182.9239002;28.3;1.30322;47.9626;73.4
184.2271202;28.4;1.51166;46.0398;81
185.7387755;29.1;1.47211;39.6916;77
187.2108844;29.2;1.5093;40.7579;78.2
188.7201814;29.3;1.61669;39.7536;78.6
190.3368707;29.4;1.85179;37.1129;76.3
192.1886621;30.1;1.8195;32.4011;76.8
194.0081633;30.2;1.89569;32.9761;73.7
195.9038549;30.3;1.74512;31.6507;74.4
197.6489796;30.4;1.75;34.3815;71.2
199.3989796;31.1;1.86633;34.2857;65.8
201.2653061;31.2;1.86286;32.1487;64.8
203.1281633;31.3;1.82277;32.2086;65.7
204.9509297;31.4;1.98531;32.917;67.5
206.9362358;32.1;1.69658;30.222;68.7
208.6328118;32.2;1.89091;35.3653;65
210.5237188;32.3;1.72934;31.7308;65.6
212.2530612;32.4;2.17161;34.6953;67.9
214.4246712;33.1;1.68925;27.6293;62.6
216.1139229;33.2;1.88608;35.5187;59.7
218;33.3;1.79138;31.8121;65.1
219.7913832;33.4;1.89533;33.4937;61.6
221.686712;34.1;1.72408;31.6568;65.1
223.4107937;34.2;1.76472;34.8011;70.5
225.1755102;34.3;1.75311;33.9998;68.5
226.9286168;34.4;1.70667;34.225;59.6
228.6352834;35.1;1.79374;35.1562;60.5
230.4290249;35.2;1.82277;33.4496;54.1
232.2517914;35.3;1.75311;32.917;55.9
234.004898;35.4;1.97878;34.225;66.8
235.9836735;36.1;1.77705;30.3218;67.7
237.7607256;36.2;1.80535;33.7638;68
239.5660771;36.3;1.73569;33.2345;61.3
241.3017687;36.4;2.0898;34.5684;65.7
243.3915646;37.1;1.86921;28.7109;69.7
245.260771;37.2;2.04336;32.0992;69.3
247.304127;37.3;1.8815;29.3635;63.2
249.1856236;37.4;1.47379;31.8895;71.5
250.6594104;38.1;1.4019;40.7114;68.2
252.0613152;38.2;1.60218;42.7989;74.9
253.6634921;38.3;1.33224;37.449;68.7
254.995737;38.4;1.46186;45.0368;75.7
256.4575964;39.1;1.20844;41.0436;74.4
257.6660317;39.2;1.5093;49.651;77.9
259.1753288;39.3;1.56753;39.7536;78.4
260.7428571;39.4;2.00254;38.2768;78
262.7453968;40.1;1.67184;29.962;74.1
264.4172336;40.2;1.52091;35.8887;65.9
265.9381406;40.3;1.47447;39.4501;69.5
267.4126077;40.4;1.56444;40.6927;64.4
268.9770522;41.1;1.49642;38.3523;80.9
270.4734694;41.2;1.53379;40.0958;74.7
272.0072562;41.3;1.58186;39.1189;72
273.5891156;41.4;1.60508;37.93;77
275.194195;42.1;1.45705;37.3813;80.4
276.6512472;42.2;1.50385;41.179;75.2
278.155102;42.3;1.56118;39.8975;73.4
279.7162812;42.4;1.55574;38.4325;71.2
281.2720181;43.1;1.679;38.5669;69
282.9510204;43.2;1.66757;35.7355;68.3
284.6185941;43.3;1.65442;35.9804;62.9
286.2730159;43.4;1.91921;36.2664;66.9
288.1922222;44.1;1.669;31.2629;63.8
289.8612245;44.2;1.62757;35.9496;70.4
291.4887982;44.3;1.61669;36.8647;78
293.1054875;44.4;1.73569;37.1129;75.9
294.8411791;45.1;1.45705;34.5684;77.5
296.2982313;45.2;1.52961;41.179;70.1
297.8278458;45.3;1.48644;39.2256;70.4
299.3142857;45.4;1.45306;40.3649;66
