Onset;Bar.Minim;Duration (s);Tempo (bpm);Intensity (dB)
125.877551;68.1;1.13517;61.25;68.9
127.0127211;68.2;1.06891;52.8555;75.7
128.0816327;69.1;1.33184;56.1319;76.8
129.4134694;69.2;1.10898;45.0506;66.5
130.522449;70.1;0.963265;54.1038;71.5
131.4857143;70.2;1.01224;62.2881;73
132.4979592;71.1;0.995918;59.2742;71.2
133.4938776;71.2;1.08571;60.2459;72.4
134.5795918;72.1;1.02041;55.2632;68.2
135.6;72.2;1.0405;58.8;72.5
136.6404989;73.1;1.00032;57.6646;71
137.6408163;73.2;0.946939;59.981;74.6
138.5877551;74.1;1.09388;63.3621;77.9
139.6816327;74.2;1.15102;54.8507;81.8
140.8326531;75.1;1.23265;52.1277;65.3
142.0653061;75.2;1.2;48.6755;67.3
143.2653061;76.1;0.832653;50;69.9
144.0979592;76.2;0.897959;72.0588;70.5
144.9959184;77.1;0.791837;66.8182;74.1
145.7877551;77.2;0.857143;75.7732;72.4
146.644898;78.1;0.75102;70;74.1
147.3959184;78.2;0.873469;79.8913;73.1
148.2693878;79.1;0.865306;68.6916;75
149.1346939;79.2;0.845646;69.3396;77.4
149.9803401;80.1;0.876803;70.9517;84.5
150.8571429;80.2;0.808163;68.4304;76.8
151.6653061;81.1;0.899864;74.2424;81.5
152.5651701;81.2;0.749116;66.6767;83.6
153.3142857;82.1;0.840544;80.0944;80
154.1548299;82.2;0.767619;71.3823;86
154.922449;83.1;0.8;78.1638;86
155.722449;83.2;0.815442;75;87.3
156.5378912;84.1;0.825374;73.5797;84.2
157.3632653;84.2;0.785079;72.6943;83.4
158.1483447;85.1;0.823084;76.4254;76.7
158.9714286;85.2;0.802857;72.8966;78.1
159.7742857;86.1;0.823243;74.7331;75.2
160.5975283;86.2;0.765737;72.8825;75.6
161.3632653;87.1;0.787732;78.3559;75.4
162.1509977;87.2;0.722472;76.168;78.7
162.8734694;88.1;0.750227;83.0482;79.2
163.6236961;88.2;0.803787;79.9758;78.9
164.427483;89.1;0.742925;74.6467;83.6
165.1704082;89.2;0.739796;80.7618;76.5
165.9102041;90.1;0.766531;81.1034;78.3
166.6767347;90.2;0.849796;78.2748;78.3
167.5265306;91.1;0.861882;70.6052;80.6
168.3884127;91.2;0.811587;69.6151;79.4
169.2;92.1;0.832653;73.9292;78.8
170.0326531;92.2;0.825873;72.0588;80.2
170.8585261;93.1;0.790453;72.6504;80.6
171.6489796;93.2;0.792313;75.9058;74.8
172.4412925;94.1;0.824014;75.7277;81.4
173.2653061;94.2;0.987755;72.8143;79
174.2530612;95.1;1.23265;60.7438;88
175.4857143;95.2;1.15918;48.6755;77.8
176.644898;96.1;0.930612;51.7606;78.2
177.5755102;96.2;1.02041;64.4737;71.4
178.5959184;97.1;0.922449;58.8;74.4
179.5183673;97.2;0.873469;65.0443;87.7
180.3918367;98.1;0.865306;68.6916;82.5
181.2571429;98.2;0.979592;69.3396;79.5
182.2367347;99.1;0.914286;61.25;87.7
183.1510204;99.2;0.8178;65.625;77.7
183.9688209;100.1;0.806961;73.3675;78.6
184.7757823;100.2;0.95483;74.353;82.3
185.7306122;101.1;0.955102;62.8384;83.2
186.6857143;101.2;0.816327;62.8205;74.7
187.5020408;102.1;0.923492;73.5;79.6
188.4255329;102.2;0.790794;64.9708;78.4
189.2163265;103.1;0.922449;75.8731;82.7
190.1387755;103.2;0.897959;65.0443;83.1
191.0367347;104.1;0.889796;66.8182;83.1
191.9265306;104.2;1.00408;67.4312;83.5
192.9306122;105.1;1.06122;59.7561;81
193.9918367;105.2;1.12653;56.5385;71.2
195.1183673;106.1;0.89195;53.2609;74.3
196.0103175;106.2;1.05091;67.2683;72.4
197.0612245;107.1;0.963265;57.0935;69.8
198.0244898;107.2;1.07755;62.2881;73.8
199.1020408;108.1;0.897959;55.6818;72.7
200;108.2;1.06122;66.8182;68.3
201.0612245;109.1;0.907483;56.5385;72.8
201.9687075;109.2;1.05986;66.1169;65.2
203.0285714;110.1;0.938776;56.611;68.7
203.9673469;110.2;1.02857;63.913;68.4
204.9959184;111.1;0.979592;58.3333;83.4
205.9755102;111.2;0.848005;61.25;82
206.8235147;112.1;0.923424;70.7543;86.1
207.7469388;112.2;0.840816;64.9756;84.7
208.5877551;113.1;0.881633;71.3592;80.8
209.4693878;113.2;0.897959;68.0556;81.1
210.3673469;114.1;0.922449;66.8182;84.2
211.2897959;114.2;0.930612;65.0443;82.3
212.2204082;115.1;0.995918;64.4737;85.1
213.2163265;115.2;0.767347;60.2459;75.6
213.9836735;116.1;0.843515;78.1915;78.5
214.8271882;116.2;0.74898;71.1309;78.2
215.5761678;117.1;0.831995;80.109;80.7
216.4081633;117.2;0.764875;72.1158;81.2
217.1730385;118.1;0.804127;78.4442;81.3
217.9771655;118.2;0.757619;74.6151;81.6
218.7347846;119.1;0.955351;79.1955;82.7
219.6901361;119.2;0.743424;62.8041;78.3
220.4335601;120.1;0.864399;80.7076;79.3
221.2979592;120.2;0.777755;69.4124;77.3
222.0757143;121.1;0.854898;77.1451;81
222.9306122;121.2;0.726531;70.1838;77.5
223.6571429;122.1;0.783673;82.5843;77.1
224.4408163;122.2;0.83907;76.5625;80.2
225.2798866;123.1;1.11195;71.5077;78.7
226.3918367;123.2;0.971429;53.9593;73.9
227.3632653;124.1;0.914286;61.7647;71.7
228.277551;124.2;0.955102;65.625;73.3
229.2326531;125.1;1.1102;62.8205;77.2
230.3428571;125.2;0.995918;54.0441;72.8
231.3387755;126.1;0.987755;60.2459;76.6
232.3265306;126.2;0.995918;60.7438;81.8
233.322449;127.1;0.995918;60.2459;82.4
234.3183673;127.2;1.06122;60.2459;75.9
235.3795918;128.1;1.01134;56.5385;73.5
236.3909297;128.2;1.08662;59.3274;76.7
237.477551;129.1;1.08571;55.217;74.8
238.5632653;129.2;1.08571;55.2632;76.3
239.6489796;130.1;1.20816;55.2632;72.2
240.8571429;130.2;1.16735;49.6622;77
242.0244898;131.1;1.24898;51.3986;78.4
243.2734694;131.2;1.2898;48.0392;77.6
244.5632653;132.1;0.965329;46.519;79.6
245.5285941;132.2;0.838753;62.155;72.9
246.3673469;133.1;0.84898;71.5348;77.2
247.2163265;133.2;0.831655;70.6731;71.7
248.0479819;134.1;0.825488;72.1453;78.6
248.8734694;134.2;0.880975;72.6843;84.5
249.7544444;135.1;0.821134;68.1064;78.1
250.5755782;135.2;0.850249;73.0697;78.3
251.4258277;136.1;0.884376;70.5675;87.4
252.3102041;136.2;0.8;67.8444;72.7
253.1102041;137.1;0.84898;75;76.5
253.9591837;137.2;0.816327;70.6731;75.7
254.7755102;138.1;0.830249;73.5;76.4
255.6057596;138.2;0.847823;72.2674;72.1
256.4535828;139.1;0.80356;70.7695;73.5
257.2571429;139.2;0.791837;74.6677;82.5
258.0489796;140.1;0.857143;75.7732;75.7
258.9061224;140.2;0.84898;70;81.8
259.755102;141.1;0.82449;70.6731;75.5
260.5795918;141.2;0.791837;72.7723;72.3
261.3714286;142.1;0.832653;75.7732;78.1
262.2040816;142.2;0.84898;72.0588;77.8
263.0530612;143.1;0.930612;70.6731;85.9
263.9836735;143.2;0.832653;64.4737;81.7
264.8163265;144.1;0.865306;72.0588;82.1
265.6816327;144.2;0.84898;69.3396;80.3
266.5306122;145.1;0.799614;70.6731;76.2
267.3302268;145.2;0.872857;75.0362;78
268.2030839;146.1;0.84941;68.7398;76.9
269.0524943;146.2;0.884082;70.6372;78.7
269.936576;147.1;0.863424;67.867;73.8
270.8;147.2;0.840816;69.4908;74.8
271.6408163;148.1;0.862268;71.3592;73.8
272.5030839;148.2;0.794875;69.584;77.6
273.2979592;149.1;0.906122;75.4835;78.8
274.2040816;149.2;0.791837;66.2162;78.2
274.9959184;150.1;0.865306;75.7732;80.1
275.8612245;150.2;0.75102;69.3396;79.7
276.6122449;151.1;0.832653;79.8913;81.4
277.444898;151.2;0.809184;72.0588;78.4
278.2540816;152.1;0.890068;74.1488;80
279.1441497;152.2;0.94551;67.4106;81.9
280.0896599;153.1;0.942381;63.4578;80.8
281.0320408;153.2;0.936712;63.6685;79.6
281.9687528;154.1;0.842018;64.0538;77.1
282.810771;154.2;0.903515;71.2574;82.3
283.7142857;155.1;0.930612;66.4073;75.9
284.644898;155.2;0.930612;64.4737;78.9
285.5755102;156.1;0.963265;64.4737;79.7
286.5387755;156.2;0.901746;62.2881;73.3
287.4405215;157.1;0.918639;66.5376;74.9
288.359161;157.2;0.946961;65.314;79.9
289.3061224;158.1;0.979138;63.3605;86
290.2852608;158.2;0.873923;61.2784;78.7
291.1591837;159.1;0.865986;68.6559;78.4
292.0251701;159.2;0.872789;69.2852;77.7
292.8979592;160.1;0.874921;68.7451;79.5
293.7728798;160.2;0.882064;68.5777;79.7
294.6549433;161.1;0.890113;68.0223;84.1
295.5450567;161.2;1.02637;67.4071;81.4
296.5714286;162.1;0.936893;58.4583;86.5
297.508322;162.2;0.850862;64.0414;79.2
298.3591837;163.1;0.879388;70.5167;80.1
299.2385714;163.2;0.875714;68.2293;81
300.1142857;164.1;0.930612;68.5155;77.4
301.044898;164.2;0.938776;64.4737;80
301.9836735;165.1;0.791837;63.913;69.8
302.7755102;165.2;1.0449;75.7732;77
303.8204082;166.1;0.938776;57.4219;80.4
304.7591837;166.2;0.946939;63.913;79.9
305.7061224;167.1;1.02041;63.3621;75.9
306.7265306;167.2;0.938776;58.8;75.8
307.6653061;168.1;1.00449;63.913;75.3
308.6697959;168.2;0.993061;59.7318;78.9
309.6628571;169.1;1.01469;60.4192;76.6
310.677551;169.2;1.01224;59.1311;79.1
311.6897959;170.1;0.963265;59.2742;71.9
312.6530612;170.2;0.995918;62.2881;75.1
313.6489796;171.1;1.02041;60.2459;70.5
314.6693878;171.2;1.00408;58.8;70.9
315.6734694;172.1;1.00408;59.7561;73.2
316.677551;172.2;1.00408;59.7561;72
317.6816327;173.1;1.05306;59.7561;76.5
