Onsert;Bar;Duration (s);Tempo (bpm);Intensity (dB)
222.912;89;3.20803;18.6258;64.4
226.1200313;90;3.6613;18.7031;47.4
229.7813333;91;2.80533;16.3876;58.6
232.5866667;92;2.80533;21.3878;69.6
235.392;93;2.80533;21.3878;71.3
238.1973333;94;2.64533;21.3878;73.3
240.8426667;95;2.57067;22.6815;76.2
243.4133333;96;2.41067;23.3402;75.1
245.824;97;2.656;24.8894;73.3
248.48;98;2.63467;22.5904;69.8
251.1146667;99;2.60267;22.7733;66.2
253.7173333;100;2.61333;23.0533;71.8
256.3306667;101;2.67733;22.9592;65.7
259.008;102;2.54933;22.4104;67.5
261.5573333;103;2.528;23.5356;70
264.0853333;104;2.69867;23.7342;73.2
266.784;105;2.63467;22.2332;72.9
269.4186667;106;2.82667;22.7733;73.2
272.2453333;107;2.48533;21.2264;67.2
274.7306667;108;2.51476;24.1416;77.2
277.2454271;109;2.57324;23.8591;72.3
279.8186667;110;2.38933;23.3169;74.8
282.208;111;2.34667;25.1116;72.8
284.5546667;112;2.4;25.5682;79.8
286.9546667;113;2.336;25;79
289.2906667;114;2.31467;25.6849;79.4
291.6053333;115;2.2873;25.9217;80.8
293.8926354;116;2.27803;26.2318;80.8
296.1706667;117;2.45333;26.3385;81.1
298.624;118;2.31467;24.4565;86.3
300.9386667;119;2.21133;25.9217;86.4
303.15;120;2.22122;27.133;85.4
305.3712188;121;2.26611;27.0122;86.1
307.6373333;122;2.24;26.477;85.9
309.8773333;123;2.31467;26.7857;85.5
312.192;124;2.368;25.9217;85.2
314.56;125;2.78264;25.3378;84.6
317.3426354;126;2.37679;21.5623;82.3
319.7194271;127;1.92324;25.2441;72.6
321.6426667;128;2.05867;31.1974;82.4
323.7013333;129;2.57067;29.1451;81.8
326.272;130;2.58133;23.3402;76.2
328.8533333;131;2.28267;23.2438;77.9
331.136;132;2.15467;26.285;82.6
333.2906667;133;3.67672;27.8465;79.9
336.9673854;134;2.59153;16.3189;66
339.5589167;135;2.13708;23.1523;63.1
341.696;136;2.45333;28.0756;74.8
344.1493333;137;2.784;24.4565;67.5
346.9333333;138;2.4;21.5517;58.6
349.3333333;139;2.10627;25;72.6
351.4396042;140;2.82173;28.4864;71
354.2613333;141;2.54933;21.2636;65.8
356.8106667;142;2.41067;23.5356;61
359.2213333;143;2.51733;24.8894;62.4
361.7386667;144;2.38933;23.8347;61.6
364.128;145;2.496;25.1116;59.8
366.624;146;2.47467;24.0385;64.6
369.0986667;147;2.464;24.2457;63.3
371.5626667;148;2.53867;24.3506;57.2
374.1013333;149;2.4;23.6345;59.8
376.5013333;150;2.48533;25;63.8
378.9866667;151;2.41067;24.1416;69.7
381.3973333;152;2.86933;24.8894;64.5
384.2666667;153;2.57067;20.9108;62.2
386.8373333;154;2.69867;23.3402;66.3
389.536;155;2.57067;22.2332;67.9
392.1066667;156;2.55125;23.3402;67.9
394.6579167;157;2.65408;23.5179;69.2
397.312;158;2.73067;22.6067;72.2
400.0426667;159;2.912;21.9727;62.7
402.9546667;160;2.88;20.6044;67
405.8346667;161;3.78667;20.8333;67.2
409.6213333;162;3.008;15.8451;49
412.6293333;163;2.35733;19.9468;63.1
414.9866667;164;2.53542;25.4525;62.6
417.5220833;165;2.45658;23.6647;62.5
419.9786667;166;2.464;24.4242;72.2
422.4426667;167;2.67733;24.3506;62.8
425.12;168;3.11467;22.4104;64
428.2346667;169;2.64607;19.2637;52.6
430.8807396;170;2.56993;22.6751;55.7
433.4506667;171;2.34667;23.347;56.8
435.7973333;172;2.42133;25.5682;55.7
438.2186667;173;2.38933;24.7797;61.7
440.608;174;2.24;25.1116;65.2
442.848;175;2.28267;26.7857;63
445.1306667;176;2.18667;26.285;67.1
447.3173333;177;2.464;27.439;68.7
449.7813333;178;2.51733;24.3506;67.9
452.2986667;179;2.2074;23.8347;72
454.5060625;180;2.1729;27.1814;69.1
456.6789583;181;2.31838;27.6129;62
458.9973333;182;2.208;25.8802;64.5
461.2053333;183;2.144;27.1739;73.7
463.3493333;184;2.336;27.9851;68.6
465.6853333;185;2.21429;25.6849;73.5
467.899625;186;2.34037;27.0967;72.9
470.24;187;2.176;25.6369;79.1
472.416;188;2.208;27.5735;69.6
474.624;189;2.144;27.1739;83.3
476.768;190;2.13333;27.9851;73.3
478.9013333;191;2.04016;28.125;70.6
480.9414896;192;2.05584;29.4095;77.4
482.9973333;193;2.656;29.1851;75.4
485.6533333;194;2.86933;22.5904;71.7
488.5226667;195;2.34667;20.9108;69.9
490.8693333;196;2.08;25.5682;71.8
492.9493333;197;2.19733;28.8462;74.2
495.1466667;198;2.41067;27.3058;70.2
497.5573333;199;2.31467;24.8894;71.9
499.872;200;2.13965;25.9217;72.4
502.0116458;201;2.26569;28.042;75.9
504.2773333;202;2.51733;26.482;71.4
506.7946667;203;2.176;23.8347;59.6
508.9706667;204;2.05867;27.5735;64.3
511.0293333;205;2.112;29.1451;68.6
513.1413333;206;2.03733;28.4091;65.7
515.1786667;207;2.05867;29.4503;70.6
517.2373333;208;1.93067;29.1451;72.8
519.168;209;1.92;31.0773;74.6
521.088;210;2.016;31.25;73.6
523.104;211;1.9485;29.7619;70.4
525.0525;212;1.83817;30.7929;77.5
526.8906667;213;1.80267;32.6412;76.2
528.6933333;214;1.824;33.284;80.7
530.5173333;215;2.22933;32.8947;77.7
532.7466667;216;1.97333;26.9139;77.2
534.72;217;2.00245;30.4054;77.8
536.7224479;218;2.69089;29.9633;82
539.4133333;219;2.22623;22.2975;76.3
541.6395625;220;1.92321;26.9514;74.9
543.5627708;221;2.02656;31.1979;73.5
545.5893333;222;2.816;29.6068;72.2
548.4053333;223;2.19733;21.3068;70.7
550.6026667;224;2.47467;27.3058;73.5
553.0773333;225;2.13333;24.2457;73.6
555.2106667;226;3.06133;28.125;77.2
558.272;227;2.53654;19.5993;71.4
560.8085417;228;2.16746;23.6543;66.6
562.976;229;2.21867;27.6822;67.4
565.1946667;230;2.26133;27.0433;75.2
567.456;231;2.64533;26.533;74.7
570.1013333;232;2.81709;22.6815;71.6
572.9184271;233;2.83624;21.2985;62.8
575.7546667;234;2.93333;21.1548;62
578.688;235;2.79467;20.4545;65.4
581.4826667;236;3.38133;21.4695;66.2
584.864;237;3.97867;17.7445;59
588.8426667;238;4.68267;15.0804;61.5
593.5253333;239;3.2;12.8132;55.9
596.7253333;240;2.86933;18.75;59.9
599.5946667;241;3.01867;20.9108;63.7
602.6133333;242;3.12533;19.8763;63
605.7386667;243;3.24267;19.198;63.2
608.9813333;244;2.944;18.5033;56.9
611.9253333;245;3.43467;20.3804;61
615.36;246;3.37067;17.4689;61.8
618.7306667;247;3.09333;17.8006;67.7
621.824;248;3.008;19.3966;62.8
624.832;249;3.04;19.9468;67
627.872;250;3.136;19.7368;61.8
631.008;251;3.38133;19.1327;70.1
634.3893333;252;3.73333;17.7445;62.8
638.1226667;253;3.328;16.0714;62.7
641.4506667;254;3.53067;18.0288;67.3
644.9813333;255;3.72267;16.994;65.7
648.704;256;2.98667;16.1175;58.3
651.6906667;257;3.02933;20.0893;64.6
654.72;258;2.85867;19.8063;62.2
657.5786667;259;3.02933;20.9888;60.4
660.608;260;2.96533;19.8063;61.5
663.5733333;261;3.136;20.2338;59.1
666.7093333;262;2.88;19.1327;65.2
669.5893333;263;3.22314;20.8333;70.5
672.8124688;264;3.44353;18.6154;66
676.256;265;2.96533;17.424;66.6
679.2213333;266;2.944;20.2338;67.4
682.1653333;267;3.14667;20.3804;65.3
685.312;268;3.60533;19.0678;63.3
688.9173333;269;3.03203;16.642;60.9
691.9493646;270;2.89864;19.7887;68.9
694.848;271;3.0877;20.6994;72.3
697.9356979;272;2.8003;19.432;72
700.736;273;2.78005;21.4263;75.7
703.5160521;274;2.83061;21.5823;72.7
706.3466667;275;3.47733;21.1968;76.8
709.824;276;3.616;17.2546;75.5
713.44;277;3.46667;16.5929;73.9
716.9066667;278;4.39467;17.3077;59.3
721.3013333;279;3.968;13.6529;61.2
725.2693333;280;5.73686;15.121;61.1
731.0061979;281;0;10.4587;57.7
