Onset;Bar.Semiquaver;Duration (s);Tempo (bpm);Intensity (dB)
1.555736961;1.1;0.754649;0;64.5
2.310385487;1.2;0.615329;79.5072;60.1
2.925714285;1.3;0.580499;97.5088;61.3
3.506213151;1.4;0.615329;103.359;68
4.12154195;1.5;0.615329;97.5088;74.8
4.736870748;1.6;0.568889;97.5088;69.6
5.305759637;1.7;0.592109;105.469;71.6
5.89786848;1.8;0.650159;101.333;70.4
6.54802721;2.1;0.673379;92.2852;80
7.221405895;2.2;0.580499;89.1029;71
7.801904761;2.3;0.580499;103.359;69.1
8.382403628;2.4;0.638549;103.359;73.8
9.02095238;2.5;0.743039;93.9631;65.1
9.763990929;2.6;0.835918;80.7495;64.8
10.5999093;2.7;0.626939;71.7773;66.3
11.22684807;2.8;0.626939;95.7031;67.3
11.85378685;3.1;0.626939;95.7031;65.4
12.48072562;3.2;0.626939;95.7031;63.4
13.1076644;3.3;0.592109;95.7031;70.2
13.69977324;3.4;0.743039;101.333;72.7
14.44281179;3.5;0.753537;80.7495;68
15.19634921;3.6;0.67449;79.6245;58.6
15.870839;3.7;0.615329;88.9561;72.7
16.4861678;3.8;0.719819;97.5088;73.8
17.20598639;4.1;0.677347;83.3543;74.7
17.88333333;4.2;0.70424;88.5809;71.9
18.5875737;4.3;0.650227;85.1982;71.3
19.23780045;4.4;0.822971;92.2755;68.3
20.06077098;4.5;0.872018;72.9066;62.4
20.93278912;4.6;0.696599;68.8059;69.8
21.62938776;4.7;0.824308;86.1328;66.8
22.45369615;4.8;0.986848;72.7883;64.6
23.44054422;5.1;0.650159;60.7996;62.6
24.09070295;5.2;0.568889;92.2852;68.4
24.65959184;5.3;0.545669;105.469;70.9
25.20526077;5.4;0.603719;109.957;70.7
25.80897959;5.5;0.626939;99.384;69.1
26.43591837;5.6;0.588005;95.7031;74.8
27.0239229;5.7;0.622653;102.04;71.6
27.64657596;5.8;0.786259;96.3618;66.3
28.43283447;6.1;0.719819;76.3108;66.1
29.15265306;6.2;0.580499;83.3543;69.5
29.73315193;6.3;0.545669;103.359;69.6
30.27882086;6.4;0.580499;109.957;75.2
30.85931973;6.5;0.615329;103.359;75.7
31.47464853;6.6;0.743039;97.5088;76.7
32.21768707;6.7;0.719819;80.7495;74.7
32.93750567;6.8;0.870748;83.3543;65.6
33.80825397;7.1;0.568889;68.9062;65
34.37714286;7.2;0.592109;105.469;67.3
34.9692517;7.3;0.580499;101.333;71.8
35.54975057;7.4;0.568889;103.359;75.7
36.11863946;7.5;0.592109;105.469;75.9
36.7107483;7.6;0.684989;101.333;79.5
37.39573696;7.7;0.743039;87.5927;77.6
38.13877551;7.8;0.917188;80.7495;77.3
39.05596372;8.1;0.743039;65.4173;75.9
39.79900227;8.2;0.673379;80.7495;74.3
40.47238095;8.3;0.638549;89.1029;77.1
41.11092971;8.4;0.545669;93.9631;78.2
41.65659864;8.5;0.626939;109.957;79.1
42.28353741;8.6;0.615329;95.7031;80.8
42.89886621;8.7;0.661769;97.5088;82.1
43.56063492;8.8;0.661769;90.6661;74.2
44.22240363;9.1;0.812698;90.6661;76.9
45.03510204;9.2;1.02168;73.8281;76.4
46.05678005;9.3;0.917188;58.7269;74
46.97396825;9.4;0.650159;65.4173;67.6
47.62412698;9.5;0.684989;92.2852;64.6
48.30911565;9.6;0.684989;87.5927;73.2
48.99410431;9.7;0.650159;87.5927;71.8
49.64426304;9.8;0.905578;92.2852;74.6
50.54984127;10.1;0.835918;66.256;68.8
51.38575964;10.2;0.801088;71.7773;70.9
52.18684807;10.3;0.870748;74.8981;68.7
53.05759637;10.4;0.766258;68.9062;71.1
53.82385488;10.5;0.766258;78.3026;71.7
54.59011338;10.6;0.684989;78.3026;69.5
55.27510204;10.7;0.499229;87.5927;69.5
55.77433107;10.8;0.719819;120.185;73.8
56.49414966;11.1;0.615329;83.3543;64.8
57.10947846;11.2;0.696599;97.5088;70.3
57.8060771;11.3;0.708209;86.1328;71.8
58.51428571;11.4;0.766258;84.7208;69.6
59.28054422;11.5;0.743039;78.3026;66.2
60.02358277;11.6;1.03329;80.7495;69
61.05687075;11.7;0.847528;58.0671;65.9
61.90439909;11.8;1.11456;70.7941;57.4
63.01895692;12.1;0.847528;53.833;65.4
63.86648526;12.2;0.661769;70.7941;64.3
64.52825397;12.3;0.650159;90.6661;67.9
65.1784127;12.4;0.801088;92.2852;66
65.97950113;12.5;0.731429;74.8981;67.4
66.71092971;12.6;0.661769;82.0312;69.1
67.37269841;12.7;0.764399;90.6661;67.6
68.13709751;12.8;0.768118;78.493;64.3
68.90521542;13.1;0.791655;78.113;65.2
69.69687075;13.2;0.752472;75.7906;66.9
70.4493424;13.3;0.743039;79.7372;69.1
71.19238095;13.4;0.708209;80.7495;73.9
71.90058957;13.5;0.668005;84.7208;63.4
72.5685941;13.6;0.748413;89.8197;63.5
73.3170068;13.7;0.917188;80.1697;63
74.23419501;13.8;0.998458;65.4173;63.1
75.23265306;14.1;0.778435;60.0927;69.5
76.01108844;14.2;0.736961;77.0777;67
76.74804989;14.3;0.899478;81.4154;58.8
77.64752834;14.4;0.557279;66.7053;72.2
78.20480726;14.5;0.669002;107.666;72.5
78.87380952;14.6;0.642925;89.6858;70.4
79.51673469;14.7;0.696599;93.3235;65.2
80.21333333;14.8;0.708209;86.1328;68.9
80.92154195;15.1;0.777869;84.7208;74.2
81.69941043;15.2;0.822562;77.1339;71.4
82.52197279;15.3;0.733175;72.9428;64.9
83.25514739;15.4;0.708209;81.8359;68.6
83.96335601;15.5;0.708209;84.7208;63.8
84.67156463;15.6;0.766258;84.7208;67.1
