Onset;Bar.Minim;Duration (s);Tempo (bpm);Intesity (dB)
266.4780045;129.2;1.04444;58.0671;77.3
267.522449;130.1;1.05696;57.4468;74.7
268.5794104;130.2;1.03329;56.7665;74.6
269.6126984;131.1;1.03329;58.0671;76.2
270.6459864;131.2;0.986848;58.0671;79
271.6328345;132.1;1.01007;60.7996;81.2
272.6429025;132.2;1.01587;59.4019;77.5
273.6587755;133.1;1.11456;59.0625;78.1
274.7733333;133.2;1.47447;53.833;76.5
276.2478005;134.1;1.12617;40.6927;71.5
277.3739683;134.2;1.0507;53.278;73.4
278.4246712;135.1;1.03329;57.1046;68.1
279.4579592;135.2;0.969433;58.0671;76.4
280.4273923;136.1;1.06649;61.8918;81.4
281.4938776;136.2;1.15102;56.2596;78.2
282.644898;137.1;1.06122;52.1277;74
283.7061224;137.2;1.26077;56.5385;71.8
284.9668934;138.1;1.10295;47.5899;69.2
286.0698413;138.2;1.03499;54.3997;66.7
287.1048299;139.1;0.996757;57.9716;73.6
288.1015873;139.2;1.02748;60.1952;74.6
289.1290703;140.1;1.01029;58.3951;74.1
290.1393651;140.2;1.04467;59.3886;66.8
291.1840363;141.1;1.21905;57.4343;69.2
292.4030839;141.2;0.963764;49.2188;71.7
293.3668481;142.1;1.13764;62.2559;70.2
294.5044898;142.2;1.0507;52.7407;68.6
295.5551927;143.1;1.12036;57.1046;70.9
296.6755556;143.2;0.980522;53.5541;70.7
297.6560771;144.1;1.22537;61.1919;70.8
298.8814512;144.2;1.03909;48.9646;70.2
299.9205442;145.1;1.02168;57.7427;67
300.9422222;145.2;0.975238;58.7269;67.8
301.9174603;146.1;0.940408;61.5234;66.3
302.8578685;146.2;0.963628;63.8021;73.3
303.8214966;147.1;0.946213;62.2647;66.8
304.7677098;147.2;0.963628;63.4107;71.9
305.7313379;148.1;0.998458;62.2647;65.3
306.7297959;148.2;1.03329;60.0927;61.1
307.7630839;149.1;1.13778;58.0671;66.1
308.9008617;149.2;0.992653;52.7344;63.5
309.8935147;150.1;1.02168;60.4441;65.2
310.9151927;150.2;1.02748;58.7269;66.4
311.9426757;151.1;0.979773;58.3951;72.2
312.922449;151.2;1.05778;61.2387;68.5
313.9802268;152.1;1.07392;56.7227;66.2
315.0541497;152.2;1.18422;55.8699;68.1
316.2383673;153.1;0.975238;50.6664;67.1
317.2136054;153.2;1.00426;61.5234;68.5
318.2178685;154.1;1.03329;59.7453;70.6
319.2511565;154.2;1.06231;58.0671;75.7
320.3134694;155.1;0.975238;56.4805;69.2
321.2887075;155.2;1.01587;61.5234;71.8
322.3045805;156.1;1.06812;59.0625;73.9
323.3726984;156.2;1.06231;56.1736;69.6
324.4350113;157.1;1.02748;56.4805;71
325.4624943;157.2;1.0449;58.3951;68.4
326.5073923;158.1;1.10875;57.4219;73.6
327.6161451;158.2;1.02054;54.1149;71.7
328.6366893;159.1;1.22018;58.7922;72.4
329.8568707;159.2;1.05651;49.173;68.8
330.9133787;160.1;1.07392;56.7909;67.2
331.9873016;160.2;1.14358;55.8699;66.4
333.1308844;161.1;1.25388;52.4667;67.5
334.3847619;161.2;1.48608;47.8516;65.3
335.870839;162.1;1.22485;40.3748;59.1
337.0956916;162.2;1.13778;48.9855;71
338.2334694;163.1;0.986621;52.7344;66.6
339.2200907;163.2;1.01029;60.8136;66
340.2303855;164.1;1.08553;59.3886;64.3
341.3159184;164.2;1.10295;55.2724;69.3
342.4188662;165.1;1.0342;54.3997;64.9
343.4530612;165.2;1.06154;58.0161;66.4
344.5146032;166.1;1.13184;56.5216;65.9
345.6464399;166.2;1.09134;53.0112;68.4
346.7377778;167.1;0.975238;54.9784;70.5
347.7130159;167.2;1.02506;61.5234;72.9
348.7380726;168.1;1.24469;58.5333;66.3
349.9827664;168.2;1.28871;48.2046;66.8
351.2714739;169.1;0.975238;46.5583;61.2
352.246712;169.2;1.11268;61.5234;62.1
353.3593878;170.1;1.09322;53.9241;52.5
354.4526077;170.2;1.07973;54.8837;66.8
355.5323356;171.1;0.876553;55.5696;61.5
356.4088889;171.2;0.986848;68.4499;70
357.395737;172.1;1.02748;60.7996;62.8
358.42322;172.2;1.11456;58.3951;67.7
359.5377778;173.1;1.02649;53.833;66.4
360.564263;173.2;0.970431;58.4519;70.9
361.5346939;174.1;0.957823;61.8282;69.4
362.492517;174.2;1.05651;62.642;72.8
363.5490249;175.1;0.940408;56.7909;66
364.4894331;175.2;0.998458;63.8021;68.2
