Onset;Bar.Crotchet;Duration (s);Tempo (bpm);Intensity (dB)
75.0975;38.2;0.48;125;73
75.5775;38.3;0.405;125;74.8
75.9825;38.4;0.4575;148.148;78.3
76.44;39.1;0.48;131.148;76.6
76.92;39.2;0.46375;125;74.4
77.38375;39.3;0.45125;129.38;72
77.835;39.4;0.48;132.964;76.3
78.315;40.1;0.4425;125;78.4
78.7575;40.2;0.4425;135.593;78.7
79.2;40.3;0.4875;135.593;79.6
79.6875;40.4;0.495;123.077;80.4
80.1825;41.1;0.495;121.212;78.8
80.6775;41.2;0.495;121.212;78.4
81.1725;41.3;0.5025;121.212;77.9
81.675;41.4;0.51;119.403;75.7
82.185;42.1;0.48;117.647;71.1
82.665;42.2;0.4275;125;78.1
83.0925;42.3;0.42575;140.351;77.9
83.51825;42.4;0.45925;140.928;77.7
83.9775;43.1;0.48;130.648;77.3
84.4575;43.2;0.415771;125;71.7
84.87327083;43.3;0.410229;144.31;72.6
85.2835;43.4;0.456;146.26;76.4
85.7395;44.1;0.4355;131.579;76.9
86.175;44.2;0.405375;137.773;77.6
86.580375;44.3;0.412125;148.011;77.2
86.9925;44.4;0.4425;145.587;80.2
87.435;45.1;0.45;135.593;79.2
87.885;45.2;0.375;133.333;76.1
88.26;45.3;0.42;160;77.1
88.68;45.4;0.4875;142.857;78.1
89.1675;46.1;0.465;123.077;79
89.6325;46.2;0.4275;129.032;78.2
90.06;46.3;0.42;140.351;81.5
90.48;46.4;0.4125;142.857;82.8
90.8925;47.1;0.375;145.455;80.4
91.2675;47.2;0.4275;160;77.1
91.695;47.3;0.4125;140.351;81.6
92.1075;47.4;0.4125;145.455;83.8
92.52;48.1;0.405;145.455;81.3
92.925;48.2;0.3975;148.148;77.1
93.3225;48.3;0.405;150.943;82.1
93.7275;48.4;0.400583;148.148;81.6
94.12808333;49.1;0.424417;149.782;79.7
94.5525;49.2;0.373625;141.371;77.1
94.926125;49.3;0.436375;160.589;81.3
95.3625;49.4;0.3975;137.496;81.5
95.76;50.1;0.435;150.943;82.8
96.195;50.2;0.39;137.931;79.4
96.585;50.3;0.3975;153.846;80.4
96.9825;50.4;0.4275;150.943;81.2
97.41;51.1;0.404104;140.351;82.1
97.81410417;51.2;0.401708;148.477;79
98.2158125;51.3;0.372417;149.362;80.6
98.58822917;51.4;0.404271;161.11;82.2
98.9925;52.1;0.4425;148.415;82.5
99.435;52.2;0.3825;135.593;81.2
99.8175;52.3;0.39;156.863;82.2
100.2075;52.4;0.42;153.846;79.9
100.6275;53.1;0.4125;142.857;82.8
101.04;53.2;0.42;145.455;80
101.46;53.3;0.42;142.857;82.1
101.88;53.4;0.4275;142.857;81.5
102.3075;54.1;0.45;140.351;82.4
102.7575;54.2;0.45;133.333;81.7
103.2075;54.3;0.3975;133.333;81.3
103.605;54.4;0.4275;150.943;79.8
104.0325;55.1;0.3975;140.351;80.7
104.43;55.2;0.433125;150.943;82.3
104.863125;55.3;0.392521;138.528;82.7
105.2556458;55.4;0.419354;152.858;83.2
105.675;56.1;0.4425;143.077;81.6
106.1175;56.2;0.4275;135.593;83.3
106.545;56.3;0.4125;140.351;81.4
106.9575;56.4;0.4275;145.455;81.7
107.385;57.1;0.4575;140.351;84.1
107.8425;57.2;0.4725;131.148;83.7
108.315;57.3;0.525;126.984;81.6
108.84;57.4;0.6675;114.286;82.3
109.5075;58.1;0.6;89.8876;74.4
110.1075;58.2;0.45;100;81.8
110.5575;58.3;0.4425;133.333;76.3
111;58.4;0.4575;135.593;81
111.4575;59.1;0.405;131.148;80.9
111.8625;59.2;0.422979;148.148;75.6
112.2854792;59.3;0.409521;141.851;82.7
112.695;59.4;0.405;146.513;80.9
113.1;60.1;0.45;148.148;81.5
113.55;60.2;0.48;133.333;84
114.03;60.3;0.405;125;80.3
114.435;60.4;0.465;148.148;81.9
114.9;61.1;0.4425;129.032;77.3
115.3425;61.2;0.444667;135.593;81.2
115.7871667;61.3;0.432833;134.933;77.8
116.22;61.4;0.4725;138.621;78.7
116.6925;62.1;0.444562;126.984;77.3
117.1370625;62.2;0.485438;134.964;81.6
117.6225;62.3;0.415062;123.6;81.7
118.0375625;62.4;0.459521;144.557;79.2
118.4970833;63.1;0.430583;130.571;81
118.9276667;63.2;0.502333;139.346;82
119.43;63.3;0.5475;119.443;83
119.9775;63.4;0.42;109.589;80.1
120.3975;64.1;0.465;142.857;79.9
120.8625;64.2;0.430917;129.032;78.9
121.2934167;64.3;0.454021;139.238;80.7
121.7474375;64.4;0.420063;132.153;79.4
122.1675;65.1;0.461396;142.836;80.3
122.6288958;65.2;0.416104;130.04;77.4
123.045;65.3;0.4725;144.195;80.2
123.5175;65.4;0.5625;126.984;82.3
124.08;66.1;0.6;106.667;81.4
124.68;66.2;0.5925;100;70.6
125.2725;66.3;0.529708;101.266;66
125.8022083;66.4;0.602792;113.27;62.3
126.405;67.1;0.5025;99.5369;68.9
126.9075;67.2;0.5625;119.403;68.4
127.47;67.3;0.51;106.667;65.6
127.98;67.4;0.482938;117.647;59.6
128.4629375;68.1;0.477062;124.24;67.3
128.94;68.2;0.471208;125.77;67.6
129.4112083;68.3;0.459875;127.332;66.8
129.8710833;68.4;0.493708;130.47;67.8
130.3647917;69.1;0.464833;121.529;73.5
130.829625;69.2;0.510375;129.079;73.4
131.34;69.3;0.4575;117.561;75.1
131.7975;69.4;0.5925;131.148;75.1
132.39;70.1;0.5025;101.266;80.1
132.8925;70.2;0.4425;119.403;77.1
133.335;70.3;0.5475;135.593;72.2
133.8825;70.4;0.405;109.589;75.2
134.2875;71.1;0.525;148.148;78.9
134.8125;71.2;0.521208;114.286;74.1
135.3337083;71.3;0.521479;115.117;70.9
135.8551875;71.4;0.509812;115.057;66.6
136.365;72.1;0.484396;117.69;72.3
136.8493958;72.2;0.543104;123.866;78.1
137.3925;72.3;0.5025;110.476;77
137.895;72.4;0.5025;119.403;70.6
138.3975;73.1;0.4875;119.403;68.4
138.885;73.2;0.5925;123.077;76
139.4775;73.3;0.525;101.266;74.6
140.0025;73.4;0.494312;114.286;70.4
140.4968125;74.1;0.488187;121.381;72.1
140.985;74.2;0.525;122.904;72
141.51;74.3;0.525;114.286;77.8
142.035;74.4;0.5025;114.286;71.2
142.5375;75.1;0.5325;119.403;70.9
143.07;75.2;0.496979;112.676;67.7
143.5669792;75.3;0.530521;120.729;68.9
144.0975;75.4;0.5325;113.096;75.4
144.63;76.1;0.585;112.676;71.3
145.215;76.2;0.54925;102.564;70.5
145.76425;76.3;0.579917;109.24;51.6
146.3441667;76.4;0.585563;103.463;62.9
146.9297292;77.1;0.536833;102.466;70.6
147.4665625;77.2;0.575938;111.767;73.3
148.0425;77.3;0.533104;104.178;58.4
148.5756042;77.4;0.524396;112.548;61.5
149.1;78.1;0.534771;114.417;66.9
149.6347708;78.2;0.530229;112.198;71.6
150.165;78.3;0.555;113.159;68
150.72;78.4;0.5625;108.108;69.9
151.2825;79.1;0.555;106.667;68.8
151.8375;79.2;0.4875;108.108;69.5
152.325;79.3;0.5175;123.077;70
152.8425;79.4;0.495;115.942;70.7
153.3375;80.1;0.4875;121.212;71.2
153.825;80.2;0.5025;123.077;72.6
154.3275;80.3;0.525;119.403;71.6
154.8525;80.4;0.4875;114.286;67.3
155.34;81.1;0.54;123.077;69.9
155.88;81.2;0.465;111.111;70
156.345;81.3;0.5175;129.032;70.6
156.8625;81.4;0.5175;115.942;71.6
157.38;82.1;0.54;115.942;72.8
157.92;82.2;0.495;111.111;67.1
158.415;82.3;0.500417;121.212;67.4
158.9154167;82.4;0.549583;119.9;65.6
159.465;83.1;0.503167;109.174;70.5
159.9681667;83.2;0.503917;119.245;71.3
160.4720833;83.3;0.507917;119.067;72.6
160.98;83.4;0.5025;118.13;71.5
161.4825;84.1;0.5475;119.403;69.3
162.03;84.2;0.4875;109.589;71.7
162.5175;84.3;0.48;123.077;69.8
162.9975;84.4;0.54;125;71.7
163.5375;85.1;0.555;111.111;72.5
164.0925;85.2;0.5175;108.108;70.2
164.61;85.3;0.4575;115.942;72.5
165.0675;85.4;0.525;131.148;72.1
165.5925;86.1;0.495;114.286;76.3
166.0875;86.2;0.465;121.212;73.1
166.5525;86.3;0.495;129.032;70.4
167.0475;86.4;0.45825;121.212;70.1
167.50575;87.1;0.50925;130.933;71
168.015;87.2;0.507312;117.82;70.5
168.5223125;87.3;0.520187;118.27;69.3
169.0425;87.4;0.5175;115.343;67.9
169.56;88.1;0.465;115.942;69.6
170.025;88.2;0.5325;129.032;69.2
170.5575;88.3;0.4875;112.676;69.3
171.045;88.4;0.54;123.077;67.3
171.585;89.1;0.5025;111.111;69.2
172.0875;89.2;0.525;119.403;67.8
172.6125;89.3;0.525;114.286;70.4
173.1375;89.4;0.5025;114.286;68.4
173.64;90.1;0.5175;119.403;63.8
174.1575;90.2;0.5475;115.942;66.8
174.705;90.3;0.5175;109.589;65.3
175.2225;90.4;0.585;115.942;65.3
175.8075;91.1;0.50925;102.564;68.5
176.31675;91.2;0.44325;117.82;74.5
176.76;91.3;0.5475;135.364;73.2
177.3075;91.4;0.5025;109.589;75.3
177.81;92.1;0.495;119.403;74.6
178.305;92.2;0.4725;121.212;75.6
178.7775;92.3;0.441875;126.984;71.2
179.219375;92.4;0.570625;135.785;73.8
179.79;93.1;0.495;105.148;72.9
180.285;93.2;0.4875;121.212;67.7
180.7725;93.3;0.495;123.077;70
181.2675;93.4;0.528333;121.212;74
181.7958333;94.1;0.491667;113.565;78.3
182.2875;94.2;0.48;122.034;73.5
182.7675;94.3;0.48;125;76.9
183.2475;94.4;0.4725;125;72.9
183.72;95.1;0.438292;126.984;76.6
184.1582917;95.2;0.529208;136.895;72.5
184.6875;95.3;0.4425;113.377;76.9
185.13;95.4;0.5025;135.593;69.7
185.6325;96.1;0.4725;119.403;79.1
186.105;96.2;0.48;126.984;73.1
186.585;96.3;0.462458;125;80.3
187.0474583;96.4;0.512542;129.741;73.3
187.56;97.1;0.45;117.064;75.8
188.01;97.2;0.473333;133.333;77.1
188.4833333;97.3;0.479167;126.761;80.3
188.9625;97.4;0.4725;125.217;72
189.435;98.1;0.495187;126.984;79
189.9301875;98.2;0.479813;121.166;71.9
190.41;98.3;0.4275;125.049;77.9
190.8375;98.4;0.495667;140.351;71.7
191.3331667;99.1;0.449333;121.049;74.2
191.7825;99.2;0.476938;133.531;71.9
192.2594375;99.3;0.457771;125.803;76.4
192.7172083;99.4;0.490292;131.07;74.3
193.2075;100.1;0.54;122.376;78.1
193.7475;100.2;0.3975;111.111;73.6
194.145;100.3;0.48;150.943;72.1
194.625;100.4;0.5325;125;74
195.1575;101.1;0.48;112.676;75.2
195.6375;101.2;0.48;125;73.8
196.1175;101.3;0.4125;125;73.9
196.53;101.4;0.48;145.455;76.9
197.01;102.1;0.495;125;77.7
197.505;102.2;0.4425;121.212;74.7
197.9475;102.3;0.525;135.593;73.6
198.4725;102.4;0.4875;114.286;69.7
198.96;103.1;0.435;123.077;73.9
199.395;103.2;0.48;137.931;77.5
199.875;103.3;0.435;125;73.6
200.31;103.4;0.4575;137.931;80.9
200.7675;104.1;0.48;131.148;79.8
201.2475;104.2;0.4575;125;79.3
201.705;104.3;0.4275;131.148;76.1
202.1325;104.4;0.4575;140.351;80.5
202.59;105.1;0.555;131.148;78
203.145;105.2;0.435;108.108;78.1
203.58;105.3;0.4725;137.931;75.7
204.0525;105.4;0.5325;126.984;78.1
204.585;106.1;0.4725;112.676;76.8
205.0575;106.2;0.4875;126.984;76.2
205.545;106.3;0.51;123.077;74.6
206.055;106.4;0.495;117.647;71.4
206.55;107.1;0.459208;121.212;70.3
207.0092083;107.2;0.523292;130.66;70.5
207.5325;107.3;0.45;114.659;77.7
207.9825;107.4;0.4875;133.333;74.2
208.47;108.1;0.48;123.077;80.8
208.95;108.2;0.5025;125;73.9
209.4525;108.3;0.4725;119.403;75.3
209.925;108.4;0.48;126.984;74.1
210.405;109.1;0.5175;125;79.8
210.9225;109.2;0.4875;115.942;75
211.41;109.3;0.495;123.077;73.6
211.905;109.4;0.465;121.212;72.7
212.37;110.1;0.4875;129.032;79.5
212.8575;110.2;0.454354;123.077;77.3
213.3118542;110.3;0.453146;132.056;79.7
213.765;110.4;0.495;132.408;77.3
214.26;111.1;0.465;121.212;83.9
214.725;111.2;0.465;129.032;79.3
215.19;111.3;0.4425;129.032;83.5
215.6325;111.4;0.4425;135.593;81.6
216.075;112.1;0.4425;135.593;85.9
216.5175;112.2;0.48;135.593;84.5
216.9975;112.3;0.417146;125;86.2
217.4146458;112.4;0.475354;143.835;83.7
217.89;113.1;0.4575;126.222;86.4
218.3475;113.2;0.451458;131.148;85.1
218.7989583;113.3;0.441042;132.903;84.8
219.24;113.4;0.4725;136.042;80.9
219.7125;114.1;0.45;126.984;86.5
220.1625;114.2;0.4425;133.333;82
220.605;114.3;0.45;135.593;84.3
221.055;114.4;0.448667;133.333;80.7
221.5036667;115.1;0.454417;133.73;86.2
221.9580833;115.2;0.431917;132.037;82.9
222.39;115.3;0.435;138.916;84.6
222.825;115.4;0.4425;137.931;82.9
223.2675;116.1;0.4725;135.593;86.6
223.74;116.2;0.4575;126.984;81.8
224.1975;116.3;0.4425;131.148;83.9
224.64;116.4;0.4425;135.593;80.1
225.0825;117.1;0.4575;135.593;85.1
225.54;117.2;0.435;131.148;82.7
225.975;117.3;0.413875;137.931;83.5
226.388875;117.4;0.501125;144.971;78.5
226.89;118.1;0.4725;119.731;87.8
227.3625;118.2;0.4725;126.984;81.9
227.835;118.3;0.45;126.984;84
228.285;118.4;0.4125;133.333;78.3
228.6975;119.1;0.4875;145.455;86.6
229.185;119.2;0.4575;123.077;83.8
229.6425;119.3;0.42;131.148;81.9
230.0625;119.4;0.4425;142.857;76.2
230.505;120.1;0.465;135.593;85.6
230.97;120.2;0.48;129.032;80.1
231.45;120.3;0.3975;125;84.3
231.8475;120.4;0.4575;150.943;77.8
232.305;121.1;0.4275;131.148;87.1
232.7325;121.2;0.48;140.351;81.7
233.2125;121.3;0.45;125;84.6
233.6625;121.4;0.433437;133.333;77.1
234.0959375;122.1;0.430604;138.428;85.2
234.5265417;122.2;0.493458;139.339;81.2
235.02;122.3;0.4275;121.591;83.3
235.4475;122.4;0.468042;140.351;75.3
235.9155417;123.1;0.436375;128.194;86.4
236.3519167;123.2;0.498083;137.496;80.2
236.85;123.3;0.405;120.462;85.1
237.255;123.4;0.478896;148.148;78
237.7338958;124.1;0.406583;125.288;87.1
238.1404792;124.2;0.487021;147.571;79.4
238.6275;124.3;0.405;123.198;87.4
239.0325;124.4;0.5325;148.148;83.5
239.565;125.1;0.4575;112.676;88
240.0225;125.2;0.54;131.148;84.3
240.5625;125.3;0.5175;111.111;86.8
241.08;125.4;0.645;115.942;86.1
241.725;126.1;0.675;93.0233;85.7
242.4;126.2;0.54;88.8889;83.4
242.94;126.3;0.4725;111.111;85.2
243.4125;126.4;0.398417;126.984;84
243.8109167;127.1;0.4795;150.596;81.3
244.2904167;127.2;0.449583;125.13;84.4
244.74;127.3;0.42;133.457;83.7
245.16;127.4;0.4575;142.857;85.4
245.6175;128.1;0.45;131.148;86.4
246.0675;128.2;0.48;133.333;79.7
246.5475;128.3;0.435;125;84.7
246.9825;128.4;0.51;137.931;78.8
247.4925;129.1;0.41725;117.647;83.7
247.90975;129.2;0.60275;143.799;79.2
248.5125;129.3;0.422375;99.5438;84.9
248.934875;129.4;0.567625;142.054;81.7
249.5025;130.1;0.476687;105.704;81
249.9791875;130.2;0.438313;125.869;85.8
250.4175;130.3;0.4575;136.889;82.3
250.875;130.4;0.4575;131.148;82.4
251.3325;131.1;0.4575;131.148;82.5
251.79;131.2;0.495;131.148;87.4
252.285;131.3;0.4575;121.212;82.3
252.7425;131.4;0.4425;131.148;84.3
253.185;132.1;0.5475;135.593;84.5
253.7325;132.2;0.4425;109.589;79.3
254.175;132.3;0.4575;135.593;85.2
254.6325;132.4;0.45;131.148;80.7
255.0825;133.1;0.5175;133.333;82.6
255.6;133.2;0.4275;115.942;80.4
256.0275;133.3;0.537417;140.351;83
256.5649167;133.4;0.647583;111.645;83.3
257.2125;134.1;0.645;92.6522;71.5
257.8575;134.2;0.465;93.0233;77.2
258.3225;134.3;0.495;129.032;72.6
258.8175;134.4;0.412854;121.212;78.6
259.2303542;135.1;0.464646;145.33;74.8
259.695;135.2;0.45;129.131;73.4
260.145;135.3;0.465;133.333;79
260.61;135.4;0.4275;129.032;78.2
261.0375;136.1;0.412875;140.351;81.4
261.450375;136.2;0.459521;145.322;77.3
261.9098958;136.3;0.464958;130.571;80.3
262.3748542;136.4;0.470146;129.044;71.2
262.845;137.1;0.4875;127.62;75.9
263.3325;137.2;0.4875;123.077;70.2
263.82;137.3;0.479792;123.077;72.6
264.2997917;137.4;0.472708;125.054;72
264.7725;138.1;0.54;126.928;71.6
265.3125;138.2;0.414813;111.111;71.5
265.7273125;138.3;0.455187;144.644;72.7
266.1825;138.4;0.458958;131.814;73.1
266.6414583;139.1;0.441042;130.731;70
267.0825;139.2;0.42;136.042;75.2
267.5025;139.3;0.4125;142.857;76.1
267.915;139.4;0.477375;145.455;77.3
268.392375;140.1;0.430125;125.687;77.5
268.8225;140.2;0.471021;139.494;79.7
269.2935208;140.3;0.436479;127.383;75
269.73;140.4;0.465;137.464;78.7
270.195;141.1;0.443333;129.032;76.6
270.6383333;141.2;0.501667;135.338;72.1
271.14;141.3;0.45;119.601;71.5
271.59;141.4;0.465;133.333;70.1
272.055;142.1;0.51;129.032;70.1
272.565;142.2;0.4425;117.647;72.6
273.0075;142.3;0.416417;135.593;69.5
273.4239167;142.4;0.468583;144.086;72.9
273.8925;143.1;0.495;128.046;67.7
274.3875;143.2;0.4725;121.212;75.1
274.86;143.3;0.4425;126.984;75.2
275.3025;143.4;0.495;135.593;74.4
275.7975;144.1;0.495;121.212;65
276.2925;144.2;0.431083;121.212;72.7
276.7235833;144.3;0.454604;139.184;69.6
277.1781875;144.4;0.531812;131.983;72.2
277.71;145.1;0.431729;112.822;74.7
278.1417292;145.2;0.468271;138.976;72.1
278.61;145.3;0.4725;128.131;71.4
279.0825;145.4;0.42;126.984;72.1
279.5025;146.1;0.4425;142.857;70
279.945;146.2;0.460938;135.593;73.1
280.4059375;146.3;0.424062;130.169;71
280.83;146.4;0.4725;141.489;74.3
281.3025;147.1;0.4125;126.984;72.3
281.715;147.2;0.442354;145.455;72.3
282.1573542;147.3;0.442646;135.638;67.2
282.6;147.4;0.4725;135.549;71.6
283.0725;148.1;0.448563;126.984;66.3
283.5210625;148.2;0.440917;133.761;68.1
283.9619792;148.3;0.435708;136.08;64.8
284.3976875;148.4;0.482313;137.707;70.2
284.88;149.1;0.4575;124.401;66.5
285.3375;149.2;0.465;131.148;69.9
285.8025;149.3;0.457687;129.032;67.8
286.2601875;149.4;0.45975;131.094;70.5
286.7199375;150.1;0.425063;130.506;73.6
287.145;150.2;0.495;141.156;74.5
287.64;150.3;0.4425;121.212;77.9
288.0825;150.4;0.465;135.593;75.7
288.5475;151.1;0.4425;129.032;72.8
288.99;151.2;0.4875;135.593;79.5
289.4775;151.3;0.435;123.077;71.6
289.9125;151.4;0.4575;137.931;74.6
290.37;152.1;0.4425;131.148;73.7
290.8125;152.2;0.405;135.593;78.8
291.2175;152.3;0.48;148.148;77.3
291.6975;152.4;0.5325;125;75.8
292.23;153.1;0.474292;112.676;77.5
292.7042917;153.2;0.449313;126.504;74.3
293.1536042;153.3;0.426396;133.537;72.2
293.58;153.4;0.51;140.714;74.1
294.09;154.1;0.4725;117.647;74.5
294.5625;154.2;0.4725;126.984;73.8
295.035;154.3;0.431979;126.984;77
295.4669792;154.4;0.483021;138.896;77.2
295.95;155.1;0.4575;124.218;75.4
296.4075;155.2;0.471396;131.148;74.5
296.8788958;155.3;0.406104;127.282;75.2
297.285;155.4;0.465;147.745;79.8
297.75;156.1;0.4575;129.032;75.6
298.2075;156.2;0.45;131.148;77.3
298.6575;156.3;0.4575;133.333;78.9
299.115;156.4;0.5025;131.148;72
299.6175;157.1;0.45;119.403;70.6
300.0675;157.2;0.4275;133.333;77.8
300.495;157.3;0.465;140.351;77.8
300.96;157.4;0.45;129.032;75.3
301.41;158.1;0.5025;133.333;81.3
301.9125;158.2;0.4875;119.403;80.2
302.4;158.3;0.51;123.077;79.6
302.91;158.4;0.4575;117.647;73.5
303.3675;159.1;0.507125;131.148;70.2
303.874625;159.2;0.474958;118.314;71.5
304.3495833;159.3;0.510417;126.327;74.3
304.86;159.4;0.475646;117.551;72.7
305.3356458;160.1;0.474875;126.144;69.3
305.8105208;160.2;0.449521;126.349;70.9
306.2600417;160.3;0.502833;133.475;68.5
306.762875;160.4;0.512125;119.324;73.2
307.275;161.1;0.435;117.159;74.8
307.71;161.2;0.6075;137.931;69.6
308.3175;161.3;0.615;98.7654;74.3
308.9325;161.4;0.7125;97.561;68.5
309.645;162.1;0.555;84.2105;70.7
310.2;162.2;0.495;108.108;81.5
310.695;162.3;0.525;121.212;75.4
311.22;162.4;0.57;114.286;77.3
311.79;163.1;0.51;105.263;72.7
312.3;163.2;0.48;117.647;76.6
312.78;163.3;0.54;125;72
313.32;163.4;0.5025;111.111;75.9
313.8225;164.1;0.495;119.403;71.9
314.3175;164.2;0.48;121.212;77.6
314.7975;164.3;0.5175;125;72
315.315;164.4;0.5175;115.942;75.5
315.8325;165.1;0.495771;115.942;77.5
