Onset;Bar;Duration (s);Tempo (bpm);Intensity (dB)
267.4693878;148;1.81224;32.2368;73.3
269.2816327;149;1.77959;33.1081;76.8
271.0612245;150;1.78776;33.7156;79.8
272.8489796;151;1.83673;33.5616;80.4
274.6857143;152;2.06531;32.6667;83.3
276.7510204;153;1.8449;29.0514;74.2
278.5959184;154;1.73061;32.5221;78.3
280.3265306;155;1.8449;34.6698;75.7
282.1714286;156;1.81626;32.5221;77
283.9876871;157;1.75109;33.0349;80.8
285.7387755;158;1.70612;34.2644;84.8
287.444898;159;1.64898;35.1675;79.7
289.0938776;160;1.72227;36.3861;80.8
290.8161451;161;1.81243;34.8378;81.1
292.6285714;162;1.77143;33.1048;82
294.4;163;1.69553;33.871;83.7
296.0955329;164;1.8963;35.3871;83.3
297.9918367;165;1.73878;31.6405;71.8
299.7306122;166;1.72245;34.507;77.6
301.4530612;167;1.69796;34.8341;75.6
303.1510204;168;1.77143;35.3365;78.1
304.922449;169;1.82857;33.871;76.5
306.7510204;170;1.96735;32.8125;72.1
308.7183673;171;1.98367;30.4979;70.4
310.7020408;172;1.95102;30.2469;66.7
312.6530612;173;2.12245;30.7531;68.8
314.7755102;174;3.15102;28.2692;66.4
317.9265306;175;1.74599;19.0415;65.2
319.672517;176;1.49483;34.3645;68.8
321.1673469;177;1.61052;40.1383;77.4
322.7778685;178;1.67927;37.255;76.8
324.4571429;179;1.53469;35.7297;69.4
325.9918367;180;1.49388;39.0957;73.7
327.4857143;181;1.59184;40.1639;81.9
329.077551;182;1.67236;37.6923;80.3
330.7499093;183;1.60111;35.8775;76.1
332.3510204;184;1.72245;37.474;79.8
334.0734694;185;1.51837;34.8341;80.8
335.5918367;186;1.58844;39.5161;79.1
337.1802721;187;1.72991;37.773;77.3
338.9101814;188;1.64492;34.6839;74.1
340.555102;189;1.55918;36.4759;81.6
342.1142857;190;1.43417;38.4817;80.6
343.548458;191;1.42696;41.836;80.8
344.9754195;192;1.40683;42.0474;79.5
346.3822449;193;1.44952;42.6492;79.1
347.8317687;194;1.39272;41.3929;78.6
349.2244898;195;1.39592;43.0811;80.7
350.6204082;196;1.3551;42.9825;79
351.9755102;197;1.76327;44.2771;84.2
353.7387755;198;0;34.0278;83.7
